accx,accy,accz
-0.2127,0.2916,0.8006
-0.135,0.342,0.977
0.062,0.2755,1.172
0.1499,0.2179,1.1915
0.0546,0.2193,1.0723
-0.0509,0.2247,0.9985
-0.0485,0.2403,0.9765
0.0321,0.2501,1.0293
0.1513,0.253,1.1417
0.1533,0.1954,1.1104
0.0888,0.1954,1.0298
0.0116,0.2242,1.0146
0.0072,0.2985,1.0362
0.1381,0.2946,1.1368
0.1582,0.2467,1.1368
0.1567,0.1886,1.0743
0.187,0.1006,1.0249
0.2261,0.0522,0.979
0.2857,0.0879,1.1705
0.2549,0.1499,1.2052
0.3634,0.0048,1.1666
0.4045,-0.1183,1.1153
0.3414,-0.1472,1.0826
0.3233,-0.1599,1.0455
0.3923,-0.1154,1.1055
0.2989,0.0522,1.0293
0.1533,0.0751,0.869
0.08,0.0361,0.6921
0.0766,0.0444,0.6277
0.1132,0.1836,0.7913
0.1812,0.2188,0.852
0.1953,0.1328,0.7894
0.0521,0.0664,0.6668
-0.1008,0.0845,0.4405
-0.0026,0.0214,0.6399
0.0756,0.0488,0.912
0.1118,0.062,0.9585
0.1538,0.0795,0.9174
0.1416,-0.0093,0.9331
0.1778,-0.1462,1.0635
0.275,-0.0333,1.0562
0.466,-0.0206,1.2286
0.6107,-0.0543,1.4094
0.6419,-0.0215,1.4358
0.6873,0.0747,1.2296
0.9038,0.1504,1.0254
1.0953,0.3166,0.8661
1.1882,0.4118,0.6951
1.1276,0.4582,0.5275
1.0885,0.405,0.4176
0.9102,0.3517,0.4767
0.8994,0.3805,0.5485
1.0973,0.3019,0.4205
0.9649,0.253,0.2255
0.7479,0.2188,-0.0574
0.8481,0.2003,-0.1326
0.8579,0.168,-0.1483
0.6375,0.1304,-0.267
0.5681,0.1138,-0.3569
0.6385,0.0581,-0.4101
0.7059,0.0112,-0.3417
0.7118,-0.0861,-0.3368
0.6541,-0.0929,-0.6422
0.6263,-0.0275,-1.0727
0.7572,-0.023,-1.0019
0.7924,0.0219,-0.4537
1.1447,-0.2307,-0.4424
1.0148,-0.134,-0.9364
0.4391,0.0014,-1.1694
1.2234,-0.3084,-0.3051
1.3675,-0.1965,0.2348
0.6326,-0.2874,0.0169
0.5715,-0.2561,-0.1145
0.8628,-0.3338,-0.3603
0.8647,-0.4364,-0.1052
1.349,-0.7858,0.4913
1.066,-1.0995,-0.7009
0.3194,-1.0311,-1.5413
0.2745,-0.3138,-0.4111
0.3502,-0.2678,-0.3251
0.6507,-0.2552,-0.911
0.9937,-0.4614,-1.3927
0.7089,-0.1521,-1.2061
0.2339,-0.3318,-0.5162
0.249,-0.5366,-0.2401
0.55,-0.1892,-0.3149
0.9263,-0.1154,-0.3681
0.7543,-0.4066,-0.5939
0.6717,-0.5385,-0.6642
0.7763,-0.3988,-0.5132
0.4699,-0.4183,-0.437
0.3297,0.2936,-0.7883
0.208,0.0884,-0.6667
0.3365,-0.0387,-0.9457
0.3908,0.3092,-1.7695
0.2041,-0.1198,-0.0236
0.1856,-0.453,-0.3672
0.1665,-0.6538,-0.0139
0.659,-1.6662,-0.8142
0.5676,-1.056,-0.4414
0.7172,-1.8905,-0.9921
0.746,-1.1693,-0.4795
0.2383,-0.6944,-0.3163
0.015,-0.7863,-0.5015
0.1992,-0.7154,-0.63
0.2407,-0.7105,-0.674
0.2207,-0.8415,-0.587
0.2051,-0.9328,-0.5734
0.1123,-1.3975,-1.3175
0.3268,-1.3091,-0.6726
0.4875,-1.056,-0.6305
0.4582,-0.7081,-0.5626
0.3712,-0.2595,-0.5196
-0.0055,-0.0709,-0.6495
-0.1003,-0.4398,-0.7224
0.0204,-0.6832,-0.7229
0.2809,-1.0818,-0.6471
0.5623,-1.0872,-0.6867
0.512,-0.6827,-0.5695
0.4113,-0.4765,-0.5963
0.2647,-0.3861,-0.6637
0.0219,-0.37,-0.6491
0.1826,-0.5835,-0.5455
0.3712,-0.6661,-0.5934
0.4133,-0.7105,-0.7165
0.4401,-0.886,-0.6691
0.3986,-0.8068,-0.6667
0.4152,-0.8219,-0.6549
0.2716,-0.5972,-0.6344
0.2066,-0.5908,-0.7043
0.2447,-0.6528,-0.7136
0.2852,-0.7863,-0.7302
0.2266,-0.8571,-0.7316
0.1939,-0.8322,-0.7111
0.1284,-0.7848,-0.7399
0.0512,-0.7491,-0.7923
0.0649,-0.6773,-0.7243
0.1464,-0.6333,-0.7385
0.1562,-0.7144,-0.7263
0.1631,-0.8004,-0.7942
0.3492,-0.8791,-0.7692
0.5124,-0.9035,-0.6769
0.5002,-0.7975,-0.6032
0.4552,-0.669,-0.589
0.4133,-0.5439,-0.5474
0.4089,-0.4799,-0.5005
0.4274,-0.3822,-0.522
0.3692,-0.2449,-0.5411
0.1591,-0.1061,-0.6295
0.1597,-0.0787,-0.3979
0.3331,-0.236,-0.631
0.0145,-0.3138,-0.9168
-0.0065,-0.2204,-0.736
0.2857,-0.3431,-0.5787
0.5388,-0.5507,-0.6906
0.5383,-0.564,-0.8269
0.4084,-0.5933,-1.0321
0.359,-0.7139,-0.9574
0.425,-0.7257,-0.9339
0.4118,-0.5033,-0.8001
0.3209,-0.3362,-0.7111
0.1528,-0.3451,-0.7551
0.0189,-0.457,-0.7058
0.1245,-0.5326,-0.694
0.4157,-0.5659,-0.7849
0.4523,-0.4819,-0.6779
0.3805,-0.2996,-0.5513
0.3453,-0.2126,-0.5924
0.4133,-0.3186,-0.8001
0.3551,-0.6206,-1.0028
0.3395,-0.6788,-0.8152
0.4362,-0.5024,-0.8113
0.3443,-0.3622,-0.8518
0.2442,-0.2991,-0.9076
0.2632,-0.3074,-0.8489
0.3678,-0.4208,-0.8328
0.4211,-0.5507,-0.8103
0.3879,-0.5942,-0.7927
0.3399,-0.5019,-0.7648
0.3565,-0.3592,-0.7482
0.3473,-0.2918,-0.738
0.3443,-0.305,-0.7893
0.3722,-0.3885,-0.7752
0.382,-0.4667,-0.8133
0.3277,-0.4222,-0.802
0.3248,-0.3279,-0.7742
0.2955,-0.281,-0.802
0.2637,-0.2913,-0.7752
0.2476,-0.3724,-0.78
0.2603,-0.4427,-0.8577
0.3478,-0.4476,-0.843
0.4196,-0.3998,-0.8788
0.3927,-0.3495,-0.8382
0.2965,-0.3719,-0.7781
0.3165,-0.4706,-0.7653
0.297,-0.5385,-0.7253
0.2682,-0.5073,-0.6892
0.2686,-0.4452,-0.7131
0.3136,-0.4203,-0.6716
0.4079,-0.4623,-0.6637
0.4543,-0.5077,-0.5939
0.423,-0.5664,-0.5924
0.4108,-0.6656,-0.6622
0.4748,-0.7237,-0.6887
0.5779,-0.6685,-0.5817
0.6824,-0.5453,-0.5782
0.6986,-0.4471,-0.5416
0.6619,-0.5121,-0.6622
0.445,-0.6206,-0.6032
0.3771,-0.6382,-0.7214
0.4069,-0.5732,-0.6368
0.4284,-0.5268,-0.5137
0.4333,-0.5439,-0.5118
0.4181,-0.6069,-0.6266
0.3365,-0.623,-0.6154
0.3639,-0.6069,-0.6305
0.3463,-0.5669,-0.4937
0.339,-0.5185,-0.5792
0.3976,-0.6206,-0.5035
0.4196,-0.7423,-0.5905
0.4054,-0.7931,-0.5699
0.4006,-0.7667,-0.5098
0.467,-0.7579,-0.5621
0.4255,-0.8029,-0.545
0.3747,-0.8327,-0.6471
0.3629,-0.8527,-0.6046
0.2725,-0.8302,-0.5015
0.2271,-0.8762,-0.3398
0.2911,-0.9255,-0.4189
0.336,-0.8747,-0.4698
0.2882,-0.8307,-0.4389
0.1909,-0.754,-0.418
0.2505,-0.7081,-0.3857
0.2158,-0.7423,-0.5298
0.2427,-0.925,-0.5352
0.1895,-0.9431,-0.4556
0.1557,-0.7838,-0.4512
0.1817,-0.6915,-0.417
0.2129,-0.7589,-0.3667
0.0869,-0.7921,-0.3999
0.1127,-0.8292,-0.609
0.1738,-0.9709,-0.4551
0.0722,-1.0247,-0.4932
0.1328,-0.9802,-0.5538
0.1763,-0.9338,-0.3745
0.0966,-0.8366,-0.352
0.121,-0.7868,-0.375
0.1547,-0.8087,-0.4321
0.1142,-0.7829,-0.4277
0.1259,-0.8385,-0.4961
0.1719,-0.907,-0.4722
0.0605,-0.839,-0.437
0.0072,-0.8141,-0.4937
0.0512,-0.8019,-0.5494
0.21,-0.8058,-0.5494
0.3219,-0.8527,-0.5817
0.3869,-0.8517,-0.503
0.3575,-0.7374,-0.4487
0.2354,-0.6328,-0.3794
0.142,-0.7301,-0.4004
0.1445,-0.9104,-0.5513
0.1538,-1.0022,-0.6539
0.1435,-0.9284,-0.5885
0.1064,-0.7789,-0.4595
0.1206,-0.7208,-0.4214
0.2217,-0.7804,-0.46
0.2838,-0.8595,-0.4839
0.2403,-0.8683,-0.4615
0.1904,-0.8498,-0.4668
0.1464,-0.7838,-0.5147
0.1748,-0.7086,-0.5948
0.2271,-0.669,-0.5646
0.2295,-0.6773,-0.4732
0.1508,-0.7647,-0.5005
0.1386,-0.8581,-0.6002
0.2315,-0.9113,-0.6486
0.295,-0.9118,-0.629
0.3199,-0.9226,-0.632
0.3018,-0.8864,-0.6461
0.2945,-0.7652,-0.5533
0.2608,-0.5835,-0.4727
0.295,-0.5019,-0.4028
0.3507,-0.5693,-0.4448
0.3752,-0.7183,-0.4805
0.3869,-0.8068,-0.5001
0.4128,-0.8253,-0.4981
0.4396,-0.8449,-0.4805
0.4211,-0.8722,-0.5435
0.4543,-0.8869,-0.6158
0.4543,-0.8419,-0.6041
0.4362,-0.7702,-0.543
0.4352,-0.7203,-0.4404
0.4216,-0.6489,-0.3896
0.3883,-0.5854,-0.4419
0.3805,-0.5903,-0.4516
0.4001,-0.6338,-0.4878
0.4235,-0.6832,-0.5093
0.403,-0.7052,-0.5352
0.4797,-0.7086,-0.5303
0.508,-0.7296,-0.5147
0.4762,-0.7413,-0.5132
0.4421,-0.7247,-0.4859
0.3942,-0.7125,-0.4556
0.3531,-0.6582,-0.4605
0.3712,-0.5385,-0.5372
0.3673,-0.4291,-0.5552
0.424,-0.4516,-0.5503
0.6395,-0.5541,-0.7111
0.6444,-0.6133,-0.6305
0.6111,-0.6255,-0.545
0.6361,-0.6959,-0.6456
0.4416,-0.67,-0.5973
0.3727,-0.5283,-0.4883
0.4084,-0.4032,-0.521
0.465,-0.3944,-0.46
0.4778,-0.4526,-0.5084
0.5383,-0.453,-0.6383
0.5754,-0.4672,-0.5685
0.5892,-0.4706,-0.6217
0.5911,-0.4848,-0.5362
0.4426,-0.4775,-0.5347
0.4802,-0.4784,-0.5225
0.5398,-0.4481,-0.4893
0.4817,-0.4286,-0.4458
0.5149,-0.3602,-0.5557
0.6155,-0.3504,-0.504
0.5887,-0.3841,-0.5352
0.531,-0.4325,-0.5636
0.4723,-0.433,-0.5513
0.531,-0.4731,-0.5944
0.5207,-0.5507,-0.5147
0.4836,-0.6523,-0.5337
0.4704,-0.6964,-0.566
0.4694,-0.6499,-0.5787
0.5041,-0.5937,-0.5113
0.4582,-0.5463,-0.5001
0.4342,-0.5185,-0.4668
0.4284,-0.54,-0.4634
0.4866,-0.583,-0.4947
0.5383,-0.606,-0.4433
0.573,-0.6602,-0.46
0.551,-0.7257,-0.4287
0.5593,-0.817,-0.5298
0.5247,-0.8283,-0.4766
0.4772,-0.7647,-0.4453
0.4968,-0.7335,-0.4409
0.4797,-0.6856,-0.4566
0.4689,-0.6934,-0.5386
0.4089,-0.7637,-0.5181
0.2926,-0.7936,-0.5822
0.2447,-0.8024,-0.5191
0.1445,-0.8087,-0.5269
0.124,-0.8688,-0.5313
0.1836,-0.9763,-0.4175
0.169,-0.9646,-0.4292
0.1978,-0.8585,-0.4487
0.23,-0.7736,-0.4302
0.2178,-0.7296,-0.4922
0.2965,-0.7481,-0.4649
0.2613,-0.8361,-0.5298
0.2217,-0.9504,-0.5748
0.2451,-1.0594,-0.483
0.3116,-1.0364,-0.4473
0.2339,-0.9011,-0.3496
0.1381,-0.8063,-0.4077
0.0389,-0.7951,-0.4668
-0.0666,-0.7799,-0.4448
-0.0729,-0.8063,-0.4204
0.0717,-0.8874,-0.4443
0.21,-0.9275,-0.4791
0.2867,-0.9245,-0.5484
0.3224,-0.8688,-0.5675
0.2682,-0.7569,-0.4756
0.1988,-0.7193,-0.4106
0.2456,-0.7657,-0.481
0.2813,-0.7716,-0.501
0.3248,-0.7804,-0.4844
0.2765,-0.7681,-0.4585
0.2495,-0.777,-0.5142
0.2647,-0.8039,-0.5709
0.1279,-0.7594,-0.4893
0.1167,-0.7843,-0.4473
0.1856,-0.8585,-0.4429
0.2774,-0.8737,-0.4394
0.2442,-0.8673,-0.4209
0.1846,-0.8698,-0.4893
0.1812,-0.8498,-0.5695
0.1973,-0.82,-0.5719
0.2388,-0.8156,-0.5377
0.2686,-0.8527,-0.5167
0.3336,-0.8996,-0.4922
0.381,-0.9382,-0.5391
0.3702,-0.9328,-0.5597
0.3732,-0.8938,-0.5323
0.4172,-0.8087,-0.5547
0.423,-0.7481,-0.5401
0.3331,-0.7227,-0.5001
0.2926,-0.7091,-0.4864
0.3923,-0.6837,-0.4859
0.4235,-0.626,-0.4839
0.38,-0.6084,-0.4443
0.3536,-0.5679,-0.4708
0.3311,-0.605,-0.4282
0.4118,-0.6651,-0.4258
0.4606,-0.7388,-0.4194
0.619,-0.7951,-0.4805
0.7494,-0.8107,-0.5508
0.7352,-0.8175,-0.5337
0.5994,-0.7956,-0.4708
0.4905,-0.7628,-0.5059
0.3131,-0.6362,-0.4581
0.2691,-0.495,-0.4316
0.3448,-0.411,-0.4502
0.3859,-0.4134,-0.3686
0.5198,-0.4911,-0.4668
0.5892,-0.5014,-0.5215
0.5926,-0.5048,-0.4771
0.5364,-0.5073,-0.5782
0.551,-0.5356,-0.5533
0.5134,-0.5273,-0.4961
0.488,-0.4877,-0.5782
0.5769,-0.4526,-0.4654
0.4856,-0.3666,-0.4649
0.4567,-0.3592,-0.4903
0.4059,-0.2698,-0.4561
0.5232,-0.2385,-0.4394
0.5183,-0.2801,-0.4321
0.5505,-0.3968,-0.4742
0.4949,-0.4604,-0.5758
0.5657,-0.5615,-0.5641
0.5437,-0.5811,-0.5655
0.5803,-0.5894,-0.5093
0.6448,-0.5679,-0.5333
0.6341,-0.5405,-0.4678
0.5696,-0.5967,-0.46
0.5764,-0.6939,-0.396
0.5515,-0.7481,-0.483
0.5383,-0.7746,-0.4399
0.4489,-0.6993,-0.3623
0.4841,-0.6392,-0.3667
0.51,-0.5693,-0.3383
0.467,-0.5136,-0.4292
0.5373,-0.5933,-0.4287
0.4885,-0.731,-0.4917
0.4831,-0.9231,-0.6271
0.3375,-1.0394,-0.4659
0.2539,-0.9969,-0.6373
0.2354,-0.8336,-0.3686
0.1924,-0.6543,-0.4639
0.2442,-0.6333,-0.3446
0.276,-0.7266,-0.3446
0.2955,-0.8493,-0.5206
0.3292,-1.011,-0.4429
0.2975,-1.0545,-0.5294
0.2872,-0.9182,-0.4649
0.2276,-0.7559,-0.3911
0.1303,-0.691,-0.4497
0.1367,-0.778,-0.4121
0.2549,-1.0149,-0.502
0.3023,-1.2177,-0.5533
0.2828,-1.2587,-0.5059
0.1856,-1.0071,-0.4346
0.1279,-0.7921,-0.4737
0.124,-0.7169,-0.3764
0.0443,-0.6499,-0.4018
0.0551,-0.7125,-0.5054
0.1826,-0.8673,-0.4502
0.2447,-0.9245,-0.352
0.2227,-0.8957,-0.3667
0.2173,-0.8136,-0.3574
0.2095,-0.7951,-0.4096
0.2598,-0.8654,-0.5215
0.336,-0.9284,-0.5518
0.3434,-0.9094,-0.5127
0.2349,-0.8366,-0.4644
0.0937,-0.7501,-0.4184
0.1362,-0.7829,-0.4537
0.2237,-0.8517,-0.5113
0.3448,-0.9084,-0.4878
0.3482,-0.9665,-0.459
0.2544,-0.9426,-0.4394
0.1328,-0.8625,-0.4331
0.0908,-0.778,-0.3979
0.1768,-0.7838,-0.4717
0.3228,-0.8913,-0.5919
0.4176,-0.9182,-0.5963
0.3683,-0.8029,-0.4864
0.2809,-0.6846,-0.4263
0.2823,-0.6421,-0.4458
0.382,-0.7008,-0.4678
0.5149,-0.8122,-0.5279
0.5173,-0.9079,-0.5059
0.4513,-0.9206,-0.4849
0.3786,-0.8087,-0.4502
0.4133,-0.6978,-0.4571
0.4797,-0.6616,-0.4566
0.6058,-0.7501,-0.5582
0.616,-0.8913,-0.4937
0.5295,-0.9314,-0.4453
0.4665,-0.8488,-0.4306
0.3825,-0.6749,-0.4306
0.3815,-0.5429,-0.396
0.3732,-0.5073,-0.415
0.3014,-0.52,-0.3984
0.3991,-0.5615,-0.3872
0.4988,-0.5414,-0.4316
0.5671,-0.4809,-0.417
0.7006,-0.5605,-0.4712
0.682,-0.6885,-0.4331
0.5486,-0.6939,-0.461
0.3942,-0.5414,-0.4043
0.4225,-0.3612,-0.3349
0.3898,-0.2722,-0.3847
0.551,-0.2981,-0.5513
0.5676,-0.3025,-0.5274
0.6199,-0.346,-0.5391
0.4445,-0.3719,-0.5616
0.5853,-0.4819,-0.5074
0.5002,-0.564,-0.5636
0.5456,-0.5287,-0.5479
0.6444,-0.4809,-0.5547
0.6878,-0.5419,-0.4981
0.6351,-0.5644,-0.4776
0.5823,-0.5209,-0.3535
0.5549,-0.4505,-0.393
0.5818,-0.4295,-0.2787
0.5144,-0.4418,-0.3828
0.5159,-0.5331,-0.3559
0.5232,-0.5419,-0.3711
0.5286,-0.5356,-0.4204
