time,gFx,gFy,gFz,TgF
0.001266,-0.3045,0.8926,-0.3774,1.016
0.001607,-0.3094,0.8975,-0.3755,1.021
0.001820,-0.3050,0.8990,-0.3745,1.020
0.002233,-0.3070,0.8980,-0.3813,1.023
0.002458,-0.3070,0.9009,-0.3799,1.025
0.002642,-0.3104,0.9038,-0.3720,1.026
0.002814,-0.3153,0.8985,-0.3672,1.021
0.002978,-0.3177,0.9004,-0.3696,1.024
0.005801,-0.3148,0.9063,-0.3764,1.031
0.009058,-0.3167,0.9112,-0.3803,1.037
0.009437,-0.3109,0.9126,-0.3945,1.042
0.013373,-0.3148,0.9112,-0.3930,1.041
0.017828,-0.3148,0.9131,-0.3950,1.044
0.018390,-0.3182,0.9107,-0.3935,1.042
0.037869,-0.3216,0.9068,-0.3843,1.036
0.038812,-0.3163,0.9004,-0.3623,1.021
0.039138,-0.3207,0.9009,-0.3584,1.021
0.039434,-0.3153,0.8980,-0.3471,1.013
0.039758,-0.3202,0.8999,-0.3530,1.018
0.040044,-0.3187,0.9034,-0.3662,1.026
0.040418,-0.3197,0.9112,-0.3735,1.035
0.040801,-0.3241,0.9112,-0.3891,1.042
0.041208,-0.3246,0.9131,-0.3974,1.047
0.048309,-0.3314,0.9117,-0.3965,1.048
0.048899,-0.3294,0.9034,-0.3833,1.035
0.049194,-0.3299,0.8960,-0.3456,1.015
0.049523,-0.3421,0.9029,-0.3486,1.027
0.056790,-0.3348,0.9038,-0.3608,1.029
0.057442,-0.3211,0.9024,-0.3691,1.026
0.059576,-0.3153,0.8965,-0.3769,1.022
0.061019,-0.3104,0.8931,-0.3584,1.011
0.061493,-0.3207,0.8911,-0.3730,1.018
0.066538,-0.3270,0.8970,-0.3921,1.032
0.070578,-0.3231,0.8975,-0.4043,1.036
0.071098,-0.3202,0.9019,-0.4092,1.041
0.088521,-0.3255,0.9053,-0.4131,1.047
0.089148,-0.3304,0.9097,-0.4067,1.050
0.089485,-0.3294,0.9077,-0.4018,1.046
0.089782,-0.3260,0.9048,-0.3862,1.036
0.090411,-0.3270,0.9053,-0.3852,1.037
0.090746,-0.3226,0.9097,-0.3847,1.039
0.091050,-0.3231,0.9117,-0.3940,1.044
0.111590,-0.3197,0.9112,-0.3989,1.045
0.112203,-0.3231,0.9170,-0.4018,1.052
0.112500,-0.3241,0.9156,-0.3896,1.046
0.112782,-0.3260,0.9170,-0.3906,1.049
0.113081,-0.3299,0.9195,-0.3984,1.055
0.113378,-0.3343,0.9156,-0.3984,1.053
0.113650,-0.3353,0.9175,-0.3950,1.054
0.114150,-0.3431,0.9131,-0.3935,1.052
0.114561,-0.3407,0.9077,-0.3769,1.040
0.114889,-0.3407,0.9009,-0.3677,1.031
0.115177,-0.3460,0.8970,-0.3672,1.029
0.118804,-0.3475,0.8882,-0.3681,1.022
0.122652,-0.3490,0.8867,-0.3672,1.021
0.123305,-0.3500,0.8819,-0.3696,1.018
0.127433,-0.3514,0.8789,-0.3755,1.018
0.130174,-0.3519,0.8789,-0.3818,1.021
0.130719,-0.3485,0.8828,-0.3867,1.025
0.133694,-0.3558,0.8907,-0.3950,1.037
0.137087,-0.3563,0.8931,-0.3979,1.041
0.137423,-0.3563,0.9034,-0.4028,1.051
0.142287,-0.3578,0.9058,-0.4121,1.057
0.144142,-0.3602,0.9151,-0.4233,1.071
0.144607,-0.3685,0.9239,-0.4282,1.083
0.148709,-0.3730,0.9224,-0.4238,1.081
