time,gFx,gFy,gFz,TgF
0.001641,-0.0998,0.2550,0.8446,0.888
0.002165,-0.1008,0.2486,0.8407,0.882
0.002518,-0.1379,0.2520,0.8437,0.891
0.006476,-0.1579,0.2530,0.8476,0.899
0.007018,-0.1653,0.2501,0.8427,0.894
0.007327,-0.1452,0.2638,0.8417,0.894
0.009973,-0.1271,0.2652,0.8495,0.899
0.010452,-0.1105,0.2711,0.8661,0.914
0.017408,-0.0920,0.2760,0.8852,0.932
0.017985,-0.0793,0.2711,0.9110,0.954
0.018280,-0.0646,0.2730,0.9399,0.981
0.019870,-0.0554,0.2706,0.9643,1.003
0.024505,-0.0480,0.2672,0.9848,1.022
0.024900,-0.0411,0.2647,1.0107,1.046
0.027266,-0.0314,0.2584,1.0396,1.072
0.041071,-0.0201,0.2530,1.0733,1.103
0.041842,-0.0109,0.2418,1.1041,1.130
0.042162,0.0013,0.2330,1.1299,1.154
0.042440,0.0052,0.2247,1.1578,1.179
0.042721,0.0219,0.2208,1.1793,1.200
0.042989,0.0267,0.2154,1.1935,1.213
0.047681,0.0311,0.2159,1.1764,1.196
0.048228,0.0345,0.2144,1.1603,1.180
0.050693,0.0414,0.2174,1.1348,1.156
0.054564,0.0482,0.2179,1.1192,1.141
0.055074,0.0521,0.2140,1.1172,1.139
0.058400,0.0571,0.2120,1.1109,1.132
0.065910,0.0571,0.2105,1.1050,1.126
0.066510,0.0561,0.2052,1.0914,1.112
0.066865,0.0526,0.2032,1.0723,1.093
0.070048,0.0487,0.1954,1.0523,1.071
0.070519,0.0424,0.1886,1.0307,1.049
0.073030,0.0336,0.1856,1.0117,1.029
0.077912,0.0253,0.1871,0.9927,1.010
0.078437,0.0145,0.1817,0.9741,0.991
0.081148,0.0077,0.1792,0.9575,0.974
0.085115,0.0106,0.1876,0.9507,0.969
0.085831,0.0067,0.1866,0.9448,0.963
0.087976,0.0013,0.1930,0.9360,0.956
0.092411,-0.0089,0.1861,0.9282,0.947
0.092968,-0.0226,0.1807,0.9174,0.935
0.099412,-0.0319,0.1758,0.9066,0.924
0.099998,-0.0333,0.1704,0.8949,0.912
0.100288,-0.0284,0.1699,0.8910,0.908
0.103988,-0.0187,0.1646,0.8808,0.896
0.107950,-0.0035,0.1724,0.8930,0.909
0.108455,0.0175,0.1714,0.9096,0.926
0.111464,0.0385,0.1787,0.9350,0.953
0.114943,0.0566,0.1831,0.9580,0.977
0.115487,0.0712,0.1886,0.9756,0.996
0.117930,0.0830,0.1900,0.9971,1.018
0.121369,0.0942,0.1910,1.0083,1.031
0.122037,0.1025,0.1890,1.0224,1.045
0.126116,0.1059,0.1925,1.0396,1.063
0.143012,0.1171,0.1866,1.0567,1.079
0.143614,0.1196,0.1886,1.0704,1.093
0.143940,0.1274,0.1871,1.0767,1.100
0.144235,0.1225,0.1886,1.0796,1.103
0.144512,0.1362,0.1886,1.0782,1.103
0.144782,0.1362,0.1846,1.0689,1.093
0.145093,0.1469,0.1812,1.0503,1.076
0.145362,0.1445,0.1821,1.0327,1.059
0.148532,0.1513,0.1831,1.0156,1.043
0.151222,0.1704,0.1743,0.9980,1.027
0.152055,0.2495,0.2061,1.0146,1.065
0.155345,0.2349,0.1964,1.0161,1.061
0.159081,0.2412,0.1768,0.9853,1.030
0.159886,0.2398,0.1925,0.9902,1.037
0.166735,0.2295,0.2027,0.9956,1.042
0.167530,0.2393,0.2076,0.9761,1.026
0.167955,0.2544,0.2115,0.9507,1.007
0.170002,0.2730,0.2115,0.9331,0.995
0.174282,0.2686,0.2120,0.9096,0.972
0.175205,0.2637,0.2164,0.8886,0.952
0.177932,0.2315,0.2652,0.8172,0.890
0.181799,0.2407,0.2501,0.8261,0.896
0.183428,0.2520,0.2301,0.8295,0.897
0.184575,0.2476,0.2144,0.8329,0.895
0.188514,0.2486,0.1978,0.8373,0.896
0.189291,0.2569,0.1768,0.8485,0.904
0.192683,0.2588,0.1524,0.8617,0.913
0.198405,0.2486,0.1353,0.8881,0.932
0.199786,0.2383,0.1245,0.9091,0.948
0.200266,0.2451,0.1109,0.9149,0.954
0.203423,0.2476,0.1084,0.9242,0.963
0.204032,0.2359,0.1035,0.9145,0.950
0.207490,0.2144,0.1035,0.8632,0.895
0.212409,0.2046,0.1055,0.7742,0.808
0.212909,0.1919,0.1069,0.7176,0.750
0.216120,0.1880,0.0982,0.7498,0.779
0.219283,0.1792,0.1094,0.7772,0.805
0.219768,0.1651,0.1162,0.7826,0.808
0.224537,0.1440,0.1314,0.7679,0.792
0.226987,0.1416,0.1328,0.7591,0.784
0.227455,0.1528,0.1284,0.7537,0.780
0.240545,0.1748,0.1231,0.7459,0.776
0.241121,0.2031,0.1138,0.7254,0.762
0.241536,0.2256,0.1045,0.7136,0.756
0.241857,0.2422,0.0957,0.7146,0.761
0.242172,0.2613,0.0835,0.7161,0.767
0.242461,0.2657,0.0747,0.7279,0.778
0.245743,0.2750,0.0639,0.7362,0.788
0.249954,0.2852,0.0639,0.7547,0.809
0.250545,0.2994,0.0644,0.7674,0.826
0.264536,0.3165,0.0527,0.7742,0.838
0.265091,0.3448,0.0522,0.7840,0.858
0.265356,0.3424,0.0659,0.7952,0.868
0.265830,0.3526,0.0786,0.7977,0.876
0.266098,0.3595,0.1021,0.8016,0.884
0.266395,0.3639,0.1289,0.8065,0.894
0.268418,0.3609,0.1533,0.8162,0.906
0.271880,0.3570,0.1787,0.8222,0.914
0.272365,0.3502,0.1978,0.8354,0.927
0.276315,0.3458,0.2125,0.8456,0.938
0.279310,0.3468,0.2335,0.8642,0.960
0.279744,0.3404,0.2403,0.8803,0.974
0.283186,0.3414,0.2452,0.8959,0.990
0.288262,0.3399,0.2447,0.9076,1.000
0.288797,0.3399,0.2506,0.9189,1.011
0.291714,0.3385,0.2472,0.9297,1.020
0.295298,0.3399,0.2340,0.9297,1.017
0.295842,0.3160,0.2149,0.9223,0.998
0.298724,0.2393,0.1343,0.8930,0.934
0.302065,0.2721,0.1377,0.9091,0.959
0.302603,0.3009,0.1460,0.9257,0.984
0.311455,0.2979,0.1343,0.9311,0.987
0.311918,0.2950,0.1392,0.9365,0.992
0.312206,0.3331,0.1587,0.9551,1.024
0.312496,0.3565,0.1748,0.9741,1.052
0.317044,0.3766,0.2144,1.0083,1.097
0.318475,0.3668,0.2310,1.0088,1.098
0.320399,0.3849,0.2398,0.9995,1.098
0.323402,0.3971,0.2525,0.9931,1.099
0.324015,0.3815,0.2501,0.9736,1.075
0.326903,0.3707,0.2384,0.9497,1.047
0.342415,0.3648,0.2223,0.9350,1.028
0.343550,0.3570,0.2008,0.9292,1.015
0.343997,0.3302,0.1826,0.9115,0.987
0.344369,0.3487,0.1631,0.9071,0.985
0.344724,0.3556,0.1465,0.8974,0.976
0.345086,0.3448,0.1314,0.8764,0.951
0.346056,0.3521,0.1270,0.8563,0.935
0.346617,0.3712,0.1143,0.8344,0.920
0.359777,0.3859,0.1123,0.8211,0.914
0.360988,0.3962,0.1025,0.7957,0.895
0.361657,0.4137,0.0952,0.7796,0.888
0.362211,0.4357,0.0889,0.7616,0.882
0.362661,0.4509,0.0855,0.7518,0.881
0.363091,0.4772,0.0855,0.7479,0.891
0.364848,0.4954,0.0707,0.7513,0.903
0.368451,0.5051,0.0507,0.7830,0.933
0.368982,0.5373,0.0717,0.7645,0.937
0.372753,0.5417,0.0742,0.7547,0.932
0.376741,0.5432,0.0624,0.7655,0.941
0.378265,0.5500,0.0629,0.7923,0.967
0.383056,0.5623,0.0727,0.8192,0.996
0.385231,0.5676,0.0698,0.8397,1.016
0.385927,0.5671,0.0678,0.8588,1.031
0.389361,0.5657,0.0678,0.8612,1.033
0.391496,0.5642,0.0732,0.8534,1.026
0.391844,0.5579,0.0727,0.8388,1.010
0.395703,0.5666,0.0707,0.8358,1.012
0.400194,0.5525,0.0747,0.8285,0.999
0.400645,0.5408,0.0732,0.8402,1.002
0.403063,0.5261,0.0761,0.8563,1.008
0.407235,0.5120,0.0751,0.8734,1.015
0.407659,0.4856,0.0707,0.9057,1.030
0.409594,0.4533,0.0571,0.9321,1.038
0.420834,0.4367,0.0776,0.9272,1.028
0.421791,0.4103,0.0874,0.9179,1.009
0.422082,0.3761,0.0751,0.9297,1.006
0.422421,0.3585,0.0727,0.9404,1.009
0.422711,0.3517,0.0781,0.9614,1.027
0.425431,0.3355,0.0732,0.9780,1.037
0.429312,0.3253,0.0615,1.0010,1.054
0.430000,0.3209,0.0449,1.0117,1.062
0.441309,0.3194,0.0229,1.0176,1.067
0.442230,0.3106,-0.0040,1.0317,1.077
0.442556,0.3082,-0.0250,1.0430,1.088
0.442812,0.3067,-0.0446,1.0582,1.103
0.443073,0.3038,-0.0626,1.0679,1.112
0.443350,0.2965,-0.0851,1.0713,1.115
0.447420,0.2950,-0.0997,1.0655,1.110
0.450735,0.2838,-0.1022,1.0655,1.107
0.451259,0.2848,-0.1237,1.0816,1.125
0.455584,0.2975,-0.1251,1.0811,1.128
0.459372,0.3204,-0.1222,1.0459,1.101
0.459661,0.3355,-0.1139,1.0200,1.080
0.466093,0.3507,-0.1188,1.0010,1.067
0.467251,0.3727,-0.1290,0.9971,1.072
0.467584,0.3991,-0.1281,0.9892,1.074
0.470830,0.4093,-0.1251,0.9819,1.071
0.473685,0.4093,-0.1345,0.9800,1.070
0.474095,0.4133,-0.1359,0.9712,1.064
0.478023,0.4054,-0.1276,0.9614,1.051
0.480912,0.3991,-0.1408,0.9551,1.045
0.481722,0.3971,-0.1545,0.9428,1.035
0.485890,0.3966,-0.1604,0.9306,1.024
0.489424,0.3903,-0.1711,0.9287,1.022
0.489956,0.4006,-0.1853,0.9198,1.020
0.492869,0.4230,-0.2150,0.9032,1.020
0.499153,0.4396,-0.2312,0.8905,1.020
0.499962,0.4230,-0.1975,0.8910,1.006
0.500307,0.4577,-0.2194,0.9032,1.036
0.505001,0.4988,-0.2307,0.9057,1.059
0.505570,0.5300,-0.2190,0.9042,1.071
0.508103,0.5486,-0.2019,0.9115,1.083
0.511269,0.5491,-0.1569,0.9297,1.091
0.511743,0.5476,-0.1246,0.9487,1.102
0.515815,0.5745,-0.1159,0.9658,1.130
0.519901,0.5970,-0.1041,0.9560,1.132
0.520331,0.6116,-0.0822,0.9472,1.131
0.522434,0.6068,-0.0446,0.9414,1.121
0.526811,0.6028,-0.0304,0.9316,1.110
0.527878,0.6297,-0.0264,0.9228,1.117
0.545665,0.6395,0.0043,0.9120,1.114
0.546959,0.6439,0.0322,0.8920,1.101
0.547492,0.6590,0.0224,0.8778,1.098
0.548003,0.6849,0.0405,0.8490,1.092
0.548486,0.6967,0.0703,0.8339,1.089
0.549039,0.7011,0.0541,0.8412,1.096
0.549679,0.7230,0.0405,0.8045,1.082
0.550207,0.7450,0.0458,0.7757,1.077
0.550810,0.7606,0.0288,0.7703,1.083
0.552131,0.7924,0.0175,0.7454,1.088
0.556822,0.8159,0.0224,0.7318,1.096
0.557608,0.8359,0.0185,0.7269,1.108
0.559439,0.8618,-0.0010,0.7171,1.121
0.566270,0.8935,-0.0069,0.7166,1.145
0.567723,0.9273,-0.0196,0.7136,1.170
0.568378,0.9595,-0.0259,0.7024,1.189
0.570779,0.9771,-0.0259,0.7048,1.205
0.571454,0.9966,-0.0137,0.7196,1.229
0.575072,1.0049,0.0053,0.7327,1.244
0.580550,1.0054,0.0292,0.7518,1.256
0.583231,1.0113,0.0581,0.7669,1.271
0.588075,1.0108,0.0816,0.7865,1.283
0.588773,1.0118,0.0977,0.8001,1.294
0.589175,1.0059,0.1172,0.8162,1.301
0.589769,0.9913,0.1255,0.8231,1.295
0.594558,0.9771,0.1304,0.8217,1.283
0.596829,0.9527,0.1265,0.8182,1.262
0.598309,0.9370,0.1206,0.8094,1.244
0.601039,0.9214,0.1094,0.8006,1.226
0.601825,0.9107,0.1001,0.7894,1.209
0.605046,0.8974,0.0869,0.7767,1.190
0.609803,0.8965,0.0795,0.7596,1.178
0.610306,0.8979,0.0698,0.7464,1.170
0.613905,0.9063,0.0620,0.7298,1.165
0.617049,0.9234,0.0532,0.7254,1.175
0.617607,0.9429,0.0463,0.7220,1.188
0.619712,0.9600,0.0346,0.7161,1.198
0.624801,0.9815,0.0297,0.7205,1.218
0.625207,0.9961,0.0224,0.7298,1.235
0.627541,1.0094,0.0429,0.8119,1.296
0.635721,1.0089,0.0248,0.7567,1.261
0.636375,1.0025,0.0121,0.7141,1.231
0.636717,0.9961,0.0082,0.6873,1.210
0.639530,0.9854,0.0068,0.6585,1.185
0.639996,0.9820,-0.0040,0.6326,1.168
0.643128,0.9805,-0.0015,0.5954,1.147
0.646535,0.9815,0.0073,0.5812,1.141
0.647227,0.9908,0.0292,0.5671,1.142
0.650188,1.0240,0.0918,0.5583,1.170
0.654701,0.9751,0.0820,0.5847,1.140
0.655135,0.9620,0.0884,0.5632,1.118
0.657802,0.9571,0.0751,0.5446,1.104
0.661188,0.9502,0.0517,0.5202,1.085
0.661848,0.9385,0.0288,0.4991,1.063
0.665293,0.9263,0.0014,0.4776,1.042
0.670205,0.9117,-0.0162,0.4596,1.021
0.670763,0.9038,-0.0284,0.4274,1.000
0.675088,0.8447,0.0483,0.4366,0.952
0.677108,0.8232,0.0668,0.4186,0.926
0.677758,0.8115,0.0454,0.3853,0.899
0.679953,0.8017,0.0195,0.3555,0.877
0.685117,0.7787,-0.0118,0.3223,0.843
0.685922,0.7567,-0.0460,0.2910,0.812
