time,gFx,gFy,gFz,TgF
0.000798,-0.0250,0.1934,0.9149,0.936
0.000995,-0.0231,0.1876,0.9179,0.937
0.003583,-0.0187,0.1910,0.9218,0.942
0.006251,-0.0172,0.1915,0.9277,0.947
0.006465,-0.0162,0.1969,0.9345,0.955
0.008893,-0.0157,0.2017,0.9428,0.964
0.013527,-0.0172,0.2096,0.9385,0.962
0.014678,-0.0177,0.2281,0.9468,0.974
0.016898,-0.0094,0.2335,0.9536,0.982
0.020838,0.0009,0.2325,0.9673,0.995
0.021062,0.0087,0.2306,0.9868,1.013
0.024775,0.0194,0.2320,1.0014,1.028
0.028560,0.0262,0.2286,1.0063,1.032
0.029025,0.0399,0.2266,1.0239,1.049
0.031806,0.0526,0.2159,1.0459,1.069
0.035615,0.0610,0.2042,1.0650,1.086
0.035822,0.0678,0.2032,1.0850,1.106
0.040183,0.0844,0.1954,1.0997,1.120
0.045209,0.0947,0.1876,1.1172,1.137
0.047058,0.1098,0.1763,1.1314,1.150
0.050342,0.1123,0.1641,1.1544,1.171
0.050585,0.1196,0.1543,1.1691,1.185
0.050689,0.1269,0.1470,1.1822,1.198
0.054107,0.1352,0.1372,1.1827,1.198
0.058181,0.1318,0.1314,1.1832,1.198
0.058436,0.1386,0.1328,1.1749,1.191
0.062376,0.1367,0.1270,1.1642,1.179
0.065558,0.1376,0.1245,1.1534,1.168
0.065774,0.1420,0.1284,1.1451,1.161
0.069141,0.1406,0.1245,1.1382,1.154
0.074440,0.1376,0.1216,1.1338,1.149
0.074674,0.1298,0.1192,1.1216,1.135
0.076870,0.1206,0.1152,1.1065,1.119
0.080462,0.1098,0.1118,1.0967,1.108
0.080698,0.0966,0.1109,1.0826,1.093
0.084513,0.0854,0.1113,1.0689,1.078
0.088189,0.0747,0.1148,1.0479,1.057
0.088404,0.0688,0.1143,1.0264,1.035
0.092233,0.0629,0.1152,1.0137,1.022
0.095977,0.0654,0.1109,1.0034,1.012
0.096585,0.0624,0.1123,0.9966,1.005
0.099176,0.0537,0.1201,0.9824,0.991
0.103337,0.0453,0.1182,0.9804,0.989
0.103545,0.0502,0.1118,0.9770,0.985
0.106598,0.0472,0.1148,0.9853,0.993
0.110322,0.0458,0.1177,0.9878,0.996
0.110539,0.0429,0.1187,0.9907,0.999
0.114561,0.0487,0.1157,1.0000,1.008
0.118519,0.0468,0.1167,1.0044,1.012
0.118719,0.0507,0.1231,1.0171,1.026
0.121620,0.0566,0.1196,1.0317,1.040
0.125770,0.0668,0.1221,1.0484,1.058
0.128714,0.0776,0.1201,1.0582,1.068
0.129742,0.0864,0.1245,1.0772,1.088
0.133153,0.0976,0.1226,1.0918,1.103
0.133350,0.1069,0.1231,1.1011,1.113
0.136813,0.1103,0.1235,1.1119,1.124
0.140399,0.1152,0.1240,1.1207,1.133
0.140641,0.1215,0.1206,1.1304,1.143
0.145217,0.1254,0.1192,1.1363,1.149
0.148108,0.1264,0.1167,1.1378,1.151
