time,gFx,gFy,gFz,TgF
0.000769,-0.0514,0.3473,0.9321,0.996
0.000960,-0.0372,0.3400,0.9599,1.019
0.003047,-0.0260,0.3395,0.9878,1.045
0.007587,-0.0192,0.3327,1.0171,1.070
0.007869,-0.0074,0.3214,1.0440,1.092
0.011608,-0.0021,0.3210,1.0723,1.119
0.016920,0.0004,0.3136,1.0889,1.133
0.017147,0.0048,0.3078,1.1085,1.150
0.018179,0.0116,0.3048,1.1236,1.164
0.021921,0.0077,0.2970,1.1231,1.162
0.022375,0.0096,0.2896,1.1255,1.162
0.025596,0.0067,0.2867,1.1168,1.153
0.029513,0.0043,0.2823,1.1060,1.141
0.029751,-0.0011,0.2813,1.0943,1.130
0.033248,-0.0035,0.2769,1.0821,1.117
0.036832,-0.0089,0.2740,1.0635,1.098
0.037056,-0.0104,0.2686,1.0528,1.087
0.040496,-0.0114,0.2667,1.0303,1.064
0.048215,-0.0157,0.2706,1.0146,1.050
0.048510,-0.0177,0.2603,1.0088,1.042
0.048631,-0.0226,0.2555,0.9927,1.025
0.052606,-0.0216,0.2530,0.9868,1.019
0.053244,-0.0201,0.2535,0.9819,1.014
0.055562,-0.0226,0.2481,0.9761,1.007
0.059290,-0.0275,0.2452,0.9712,1.002
0.059518,-0.0245,0.2437,0.9678,0.998
0.063223,-0.0270,0.2486,0.9648,0.997
0.066913,-0.0265,0.2442,0.9648,0.996
0.067286,-0.0280,0.2447,0.9634,0.994
0.070837,-0.0304,0.2452,0.9648,0.996
0.074484,-0.0304,0.2501,0.9648,0.997
0.074695,-0.0338,0.2476,0.9634,0.995
0.078276,-0.0358,0.2491,0.9638,0.996
0.082531,-0.0382,0.2481,0.9658,0.998
0.082756,-0.0426,0.2496,0.9673,1.000
0.085473,-0.0494,0.2496,0.9682,1.001
0.089465,-0.0544,0.2540,0.9717,1.006
0.089681,-0.0593,0.2535,0.9756,1.010
0.092931,-0.0598,0.2550,0.9741,1.009
0.096989,-0.0681,0.2525,0.9765,1.011
0.099518,-0.0710,0.2599,0.9785,1.015
0.103702,-0.0715,0.2555,0.9844,1.019
0.104790,-0.0798,0.2642,0.9834,1.021
0.104964,-0.0812,0.2696,0.9878,1.027
0.108202,-0.0895,0.2672,0.9868,1.026
0.112021,-0.0895,0.2721,0.9897,1.030
0.112273,-0.0930,0.2828,0.9927,1.036
0.115819,-0.0949,0.2789,0.9917,1.035
0.119805,-0.0983,0.2804,0.9975,1.041
0.120122,-0.0993,0.2848,0.9975,1.042
0.125168,-0.1013,0.2857,0.9985,1.044
0.137294,-0.0988,0.2794,1.0049,1.048
0.137694,-0.0910,0.2794,1.0185,1.060
0.138037,-0.0822,0.2799,1.0244,1.065
0.139311,-0.0817,0.2794,1.0254,1.066
0.139574,-0.0720,0.2789,1.0229,1.063
0.139711,-0.0651,0.2711,1.0307,1.068
0.142992,-0.0602,0.2740,1.0307,1.068
0.143227,-0.0549,0.2691,1.0268,1.063
0.146918,-0.0499,0.2667,1.0303,1.065
0.147186,-0.0436,0.2633,1.0342,1.068
0.151118,-0.0426,0.2589,1.0278,1.061
0.155011,-0.0367,0.2530,1.0264,1.058
0.155843,-0.0338,0.2467,1.0210,1.051
0.160430,-0.0377,0.2462,1.0180,1.048
0.163532,-0.0367,0.2398,1.0137,1.042
0.163804,-0.0397,0.2408,1.0137,1.043
0.165477,-0.0441,0.2428,1.0102,1.040
0.169193,-0.0392,0.2369,1.0049,1.033
0.169458,-0.0465,0.2384,0.9975,1.027
0.173598,-0.0549,0.2403,0.9931,1.023
0.176814,-0.0559,0.2364,0.9931,1.022
0.177045,-0.0607,0.2379,0.9941,1.024
0.180421,-0.0656,0.2384,0.9887,1.019
0.193920,-0.0690,0.2398,0.9878,1.019
0.195002,-0.0729,0.2384,0.9873,1.018
0.195248,-0.0739,0.2364,0.9873,1.018
0.195742,-0.0744,0.2389,0.9946,1.026
0.197031,-0.0725,0.2398,0.9883,1.020
0.203391,-0.0798,0.2403,0.9966,1.028
0.203623,-0.0764,0.2437,0.9975,1.030
0.203736,-0.0788,0.2452,1.0010,1.034
0.203834,-0.0788,0.2486,1.0024,1.036
0.206688,-0.0764,0.2476,1.0063,1.039
0.207489,-0.0734,0.2496,1.0054,1.038
0.211812,-0.0700,0.2545,1.0073,1.041
0.214415,-0.0700,0.2589,1.0102,1.045
0.214639,-0.0681,0.2545,1.0093,1.043
0.218489,-0.0617,0.2608,1.0112,1.046
0.221897,-0.0588,0.2618,1.0176,1.052
0.222140,-0.0559,0.2642,1.0180,1.053
0.226444,-0.0519,0.2657,1.0161,1.052
0.231158,-0.0475,0.2701,1.0185,1.055
0.231876,-0.0475,0.2706,1.0180,1.054
0.233147,-0.0426,0.2735,1.0180,1.055
0.237175,-0.0416,0.2784,1.0185,1.057
0.238069,-0.0353,0.2794,1.0220,1.060
0.240773,-0.0314,0.2838,1.0205,1.060
0.260256,-0.0324,0.2833,1.0161,1.055
0.260601,-0.0319,0.2892,1.0176,1.058
0.260724,-0.0324,0.2804,1.0180,1.056
0.260821,-0.0348,0.2809,1.0180,1.057
0.260921,-0.0294,0.2843,1.0205,1.060
0.261012,-0.0328,0.2828,1.0215,1.060
0.261110,-0.0338,0.2828,1.0273,1.066
0.261223,-0.0299,0.2852,1.0327,1.072
0.265125,-0.0333,0.2809,1.0273,1.066
0.270921,-0.0314,0.2774,1.0259,1.063
0.271148,-0.0294,0.2701,1.0210,1.057
0.271260,-0.0289,0.2672,1.0176,1.052
0.274493,-0.0289,0.2618,1.0185,1.052
0.274962,-0.0319,0.2559,1.0151,1.047
0.287857,-0.0314,0.2545,1.0068,1.039
0.288167,-0.0348,0.2457,1.0049,1.035
0.288273,-0.0363,0.2398,1.0010,1.030
0.288360,-0.0363,0.2359,1.0014,1.029
0.289654,-0.0353,0.2384,0.9931,1.022
0.289972,-0.0382,0.2306,0.9917,1.019
0.293469,-0.0431,0.2301,0.9936,1.021
0.296703,-0.0392,0.2301,0.9922,1.019
0.297090,-0.0441,0.2242,0.9878,1.014
0.300278,-0.0490,0.2296,0.9951,1.022
0.304172,-0.0490,0.2281,0.9936,1.021
0.304386,-0.0490,0.2301,0.9956,1.023
0.308410,-0.0485,0.2252,0.9961,1.022
0.311681,-0.0441,0.2262,0.9917,1.018
0.312026,-0.0460,0.2286,0.9897,1.017
0.316585,-0.0446,0.2330,0.9878,1.016
0.319021,-0.0441,0.2281,0.9839,1.011
0.319224,-0.0397,0.2315,0.9844,1.012
0.323032,-0.0372,0.2315,0.9790,1.007
0.326625,-0.0338,0.2315,0.9834,1.011
0.326871,-0.0314,0.2340,0.9829,1.011
0.330551,-0.0197,0.2354,0.9883,1.016
0.334323,-0.0104,0.2369,0.9892,1.017
0.334543,-0.0040,0.2413,0.9858,1.015
0.337728,0.0072,0.2408,0.9873,1.016
0.341504,0.0267,0.2359,0.9804,1.009
0.341712,0.0414,0.2408,0.9780,1.008
0.347134,0.0472,0.2418,0.9721,1.003
0.349196,0.0497,0.2476,0.9648,0.997
0.349390,0.0448,0.2555,0.9658,1.000
0.353465,0.0453,0.2623,0.9668,1.003
0.356634,0.0433,0.2701,0.9682,1.006
0.357603,0.0419,0.2725,0.9721,1.010
0.360276,0.0404,0.2809,0.9819,1.022
0.364402,0.0433,0.2941,0.9809,1.025
0.365390,0.0389,0.2961,0.9687,1.014
0.368672,0.0345,0.3078,0.9883,1.036
0.372468,0.0355,0.3224,0.9878,1.040
0.373333,0.0287,0.3278,0.9785,1.032
0.375794,0.0204,0.3273,0.9824,1.036
0.383504,-0.0016,0.3063,0.9814,1.028
0.384815,-0.0021,0.3097,0.9931,1.040
0.385486,-0.0001,0.3122,0.9966,1.044
0.387036,-0.0021,0.3117,0.9853,1.033
0.387953,-0.0026,0.3112,0.9682,1.017
0.390792,-0.0001,0.3014,0.9614,1.008
0.394608,-0.0001,0.3009,0.9653,1.011
0.394967,-0.0045,0.2956,0.9707,1.015
0.398299,0.0013,0.2931,0.9717,1.015
0.401948,-0.0040,0.2843,0.9702,1.011
0.402204,-0.0065,0.2721,0.9687,1.006
0.406126,-0.0070,0.2686,0.9697,1.006
0.409596,-0.0099,0.2628,0.9648,1.000
0.410363,-0.0206,0.2550,0.9585,0.992
0.413150,-0.0250,0.2535,0.9555,0.989
0.417022,-0.0333,0.2481,0.9511,0.984
0.417703,-0.0460,0.2501,0.9414,0.975
0.421227,-0.0573,0.2476,0.9247,0.959
0.424413,-0.0671,0.2491,0.9164,0.952
0.425191,-0.0734,0.2530,0.8988,0.937
0.430496,-0.0798,0.2564,0.8803,0.920
0.432091,-0.0812,0.2584,0.8666,0.908
0.432771,-0.0788,0.2613,0.8617,0.904
0.438839,-0.0710,0.2706,0.8563,0.901
0.445882,-0.0622,0.2677,0.8666,0.909
0.446133,-0.0544,0.2774,0.8720,0.917
0.446256,-0.0446,0.2818,0.8783,0.924
0.448028,-0.0397,0.2848,0.8886,0.934
0.448254,-0.0397,0.2896,0.8861,0.933
0.450743,-0.0314,0.2916,0.8837,0.931
0.454356,-0.0250,0.2916,0.8793,0.927
0.455001,-0.0114,0.2877,0.8778,0.924
0.457942,0.0121,0.2760,0.8666,0.910
0.461919,0.0492,0.2442,0.8549,0.890
0.462302,0.0561,0.2379,0.8544,0.889
0.465421,0.0629,0.2296,0.8354,0.869
0.469009,0.0913,0.2242,0.8187,0.854
0.469274,0.1147,0.2183,0.8251,0.861
0.472674,0.1313,0.2052,0.8319,0.867
0.476646,0.1494,0.1886,0.8393,0.873
0.476877,0.1699,0.1807,0.8583,0.893
0.480227,0.1846,0.1670,0.8930,0.927
0.483888,0.2017,0.1548,0.9389,0.973
0.484170,0.2217,0.1431,0.9707,1.006
0.487813,0.2349,0.1245,0.9971,1.032
0.491980,0.2490,0.1094,1.0244,1.060
0.492356,0.2652,0.0928,1.0445,1.082
0.496778,0.2667,0.0776,1.0708,1.106
0.499549,0.2765,0.0688,1.1011,1.137
0.499777,0.2828,0.0610,1.1285,1.165
0.503206,0.2617,0.1284,1.1754,1.211
0.506923,0.2784,0.1240,1.1935,1.232
0.507273,0.2539,0.1069,1.1886,1.220
0.511151,0.2315,0.1016,1.1847,1.211
0.514499,0.2061,0.0899,1.1779,1.199
0.514695,0.2212,0.0776,1.1686,1.192
0.518163,0.2056,0.0600,1.1490,1.169
0.521985,0.1792,0.0395,1.1231,1.138
0.522170,0.1646,0.0327,1.1075,1.120
0.525508,0.1699,0.0244,1.1075,1.121
0.529327,0.2002,0.0097,1.1006,1.119
0.529560,0.1963,0.0092,1.0958,1.113
0.533235,0.1870,-0.0045,1.0875,1.103
0.536773,0.1919,-0.0147,1.0918,1.109
0.536962,0.2154,-0.0113,1.1114,1.132
0.540627,0.2110,-0.0152,1.1006,1.121
0.548025,0.2075,-0.0103,1.0962,1.116
0.548503,0.2007,-0.0093,1.0914,1.110
0.551715,0.2119,-0.0035,1.0840,1.105
0.551999,0.1978,0.0063,1.0616,1.080
0.552133,0.1846,0.0112,1.0464,1.063
0.555648,0.1841,0.0156,1.0362,1.053
0.559453,0.1699,0.0200,1.0180,1.032
0.559667,0.1680,0.0312,1.0034,1.018
0.562938,0.1543,0.0371,0.9834,0.996
0.567043,0.1450,0.0463,0.9658,0.978
0.567269,0.1367,0.0527,0.9419,0.953
0.572722,0.1245,0.0688,0.9350,0.946
0.574537,0.1083,0.0790,0.9066,0.917
0.574791,0.0996,0.0874,0.8842,0.894
0.578344,0.0898,0.1021,0.8622,0.873
0.582004,0.0854,0.1074,0.8500,0.861
0.582723,0.0859,0.1221,0.8378,0.851
0.586084,0.0869,0.1445,0.8402,0.857
0.589270,0.0839,0.1480,0.8280,0.845
0.589571,0.0976,0.1470,0.8138,0.833
0.593291,0.1098,0.1607,0.8314,0.854
0.596712,0.1210,0.1851,0.8578,0.886
0.597095,0.1250,0.1954,0.8764,0.907
0.600333,0.1372,0.1954,0.8852,0.917
0.603999,0.1464,0.1856,0.8983,0.929
0.604240,0.1626,0.1773,0.9164,0.947
0.607920,0.1699,0.1802,0.9580,0.989
0.613587,0.1455,0.2164,0.9858,1.020
0.614082,0.1430,0.2208,0.9946,1.029
0.617349,0.1479,0.1993,1.0029,1.033
0.624947,0.1523,0.1876,1.0205,1.049
0.625189,0.1680,0.1802,1.0528,1.081
0.625329,0.1821,0.1817,1.0728,1.103
0.626965,0.1748,0.1602,1.0635,1.090
0.627199,0.1738,0.1568,1.0586,1.084
0.631175,0.1797,0.1489,1.0420,1.068
0.634448,0.1865,0.1426,1.0332,1.060
0.634785,0.1831,0.1362,1.0259,1.051
0.638087,0.1821,0.1216,1.0180,1.041
0.641955,0.1826,0.1118,1.0141,1.037
0.642190,0.1802,0.1030,1.0044,1.026
0.647751,0.1743,0.0938,0.9971,1.017
0.649513,0.1738,0.0869,0.9839,1.003
0.649731,0.1699,0.0816,0.9697,0.988
0.653396,0.1670,0.0776,0.9648,0.982
0.656906,0.1631,0.0751,0.9546,0.971
0.657139,0.1704,0.0766,0.9487,0.967
0.662060,0.1719,0.0776,0.9419,0.961
0.667308,0.1787,0.0795,0.9306,0.951
0.667530,0.1880,0.0795,0.9233,0.946
0.668202,0.1919,0.0840,0.9125,0.936
0.671981,0.2071,0.0756,0.9086,0.935
0.672187,0.2124,0.0717,0.9057,0.933
0.676549,0.2212,0.0678,0.8935,0.923
0.680837,0.2237,0.0483,0.8617,0.892
0.681298,0.2422,0.0522,0.8656,0.900
0.683912,0.2495,0.0497,0.8539,0.891
0.686819,0.2559,0.0502,0.8334,0.873
0.687008,0.2627,0.0537,0.8114,0.855
0.690719,0.2637,0.0571,0.7909,0.836
0.694647,0.2652,0.0581,0.7811,0.827
0.695079,0.2682,0.0527,0.7679,0.815
0.698215,0.2583,0.0449,0.7435,0.788
0.701913,0.2735,0.0356,0.7459,0.795
0.702178,0.2735,0.0390,0.7533,0.802
0.705724,0.2750,0.0424,0.7601,0.809
0.709584,0.2774,0.0405,0.7562,0.806
0.709921,0.2769,0.0439,0.7616,0.812
0.713307,0.2711,0.0497,0.7747,0.822
0.716962,0.2642,0.0546,0.7840,0.829
