time,gFx,gFy,gFz,TgF
0.001409,-0.2283,0.3639,0.8788,0.978
0.001827,-0.2263,0.3571,0.8944,0.989
0.002128,-0.2254,0.3473,0.9130,1.002
0.005837,-0.2215,0.3405,0.9297,1.015
0.006276,-0.2185,0.3341,0.9463,1.027
0.007192,-0.2161,0.3351,0.9536,1.034
0.011283,-0.2146,0.3312,0.9624,1.040
0.011562,-0.2141,0.3278,0.9785,1.054
0.016230,-0.2112,0.3234,0.9922,1.065
0.019182,-0.2092,0.3214,1.0117,1.082
0.019614,-0.2053,0.3190,1.0249,1.093
0.028758,-0.2009,0.3185,1.0406,1.107
0.029280,-0.1995,0.3200,1.0484,1.114
0.029553,-0.1951,0.3180,1.0567,1.121
0.031922,-0.1863,0.3146,1.0655,1.126
0.034306,-0.1839,0.3151,1.0616,1.123
0.034753,-0.1814,0.3170,1.0586,1.120
0.046660,-0.1800,0.3175,1.0503,1.112
0.047281,-0.1756,0.3180,1.0440,1.105
0.047577,-0.1726,0.3195,1.0415,1.103
0.047986,-0.1697,0.3249,1.0352,1.098
0.050167,-0.1692,0.3249,1.0190,1.083
0.050486,-0.1673,0.3273,1.0097,1.075
0.053236,-0.1648,0.3273,0.9980,1.063
0.058626,-0.1648,0.3312,0.9800,1.047
0.058933,-0.1687,0.3366,0.9624,1.033
0.060058,-0.1653,0.3371,0.9409,1.013
0.065359,-0.1677,0.3410,0.9218,0.997
0.065716,-0.1682,0.3351,0.9096,0.984
0.069830,-0.1712,0.3434,0.9003,0.979
0.071722,-0.1751,0.3434,0.8925,0.972
0.072121,-0.1765,0.3468,0.8886,0.970
0.075210,-0.1790,0.3463,0.8896,0.971
0.078988,-0.1809,0.3459,0.8808,0.963
0.079337,-0.1824,0.3444,0.8793,0.962
0.082661,-0.1804,0.3400,0.8827,0.963
0.087473,-0.1800,0.3380,0.8866,0.966
0.088157,-0.1775,0.3293,0.8847,0.961
0.090160,-0.1741,0.3161,0.8798,0.951
0.094122,-0.1780,0.2946,0.8773,0.942
0.094577,-0.1716,0.2828,0.8861,0.946
0.097736,-0.1795,0.2794,0.9062,0.965
0.101579,-0.1775,0.2872,0.9101,0.971
0.101888,-0.1814,0.2872,0.9106,0.972
0.105059,-0.1829,0.2975,0.9052,0.970
0.109365,-0.1848,0.3039,0.9047,0.972
0.109695,-0.1883,0.3078,0.9032,0.973
0.112320,-0.1902,0.3092,0.9062,0.976
0.116096,-0.1985,0.3180,0.9076,0.982
0.116376,-0.1946,0.3175,0.9125,0.986
0.122875,-0.1961,0.3239,0.9438,1.017
0.125292,-0.2029,0.3214,0.9316,1.006
0.125534,-0.2009,0.3166,0.9380,1.010
0.128338,-0.2053,0.3078,0.9580,1.027
0.131298,-0.1970,0.2980,0.9848,1.048
0.131526,-0.1985,0.2961,1.0054,1.067
0.135340,-0.1995,0.2901,1.0176,1.077
0.139975,-0.1922,0.2852,1.0479,1.103
0.140261,-0.1736,0.2774,1.0928,1.141
0.142140,-0.1633,0.2799,1.0782,1.126
0.145820,-0.1540,0.2784,1.0718,1.118
0.146016,-0.1413,0.2784,1.0684,1.113
0.149717,-0.1296,0.2799,1.0689,1.113
0.153435,-0.1062,0.2809,1.0704,1.112
0.153751,-0.0964,0.2823,1.0655,1.106
0.157240,-0.0798,0.2896,1.0494,1.092
0.160939,-0.0681,0.2848,1.0249,1.066
0.161192,-0.0554,0.2901,1.0137,1.056
