time,gFx,gFy,gFz,TgF
0.005097,-0.1223,0.3971,0.9257,1.015
0.005464,-0.1232,0.4060,0.8979,0.993
0.005686,-0.1208,0.4138,0.8759,0.976
0.005861,-0.1140,0.4172,0.8559,0.959
0.006023,-0.1052,0.4275,0.8407,0.949
0.006511,-0.0993,0.4431,0.8241,0.941
0.010326,-0.0998,0.4475,0.8153,0.935
0.010639,-0.1013,0.4631,0.8104,0.939
0.013743,-0.1057,0.4734,0.8026,0.938
0.018956,-0.1042,0.4812,0.7948,0.935
0.019298,-0.1013,0.4729,0.7762,0.915
0.022478,-0.1022,0.4846,0.7982,0.939
0.025320,-0.1008,0.4856,0.8310,0.968
0.025728,-0.1052,0.4812,0.8681,0.998
0.039958,-0.1057,0.4812,0.9037,1.029
0.040514,-0.1013,0.4768,0.9438,1.062
0.040860,-0.0954,0.4709,0.9658,1.079
0.041140,-0.0871,0.4700,0.9761,1.087
0.041508,-0.0705,0.4597,0.9839,1.088
0.041823,-0.0490,0.4538,0.9790,1.080
0.057718,-0.0250,0.4455,0.9819,1.079
0.058322,-0.0074,0.4368,0.9785,1.072
0.058615,0.0038,0.4284,0.9751,1.065
0.058875,0.0160,0.4143,0.9800,1.064
0.059139,0.0179,0.4050,0.9746,1.056
0.059405,0.0140,0.3987,0.9746,1.053
0.059683,0.0126,0.3947,0.9809,1.057
0.063282,0.0101,0.3918,0.9814,1.057
0.063802,0.0062,0.3903,0.9912,1.065
0.066992,0.0067,0.3830,0.9985,1.069
0.071386,0.0101,0.3766,0.9975,1.066
0.071833,0.0184,0.3673,1.0093,1.074
0.073749,0.0321,0.3512,1.0273,1.086
0.088486,0.0394,0.3463,1.0577,1.114
0.089102,0.0399,0.3327,1.0953,1.145
0.089634,0.0502,0.3224,1.1290,1.175
0.089999,0.0541,0.3195,1.1647,1.209
0.090282,0.0683,0.3346,1.1808,1.229
0.090561,0.0683,0.3195,1.1769,1.221
0.093577,0.0849,0.3034,1.1642,1.206
0.094136,0.1030,0.3083,1.1398,1.185
0.097663,0.0805,0.3141,1.1417,1.187
0.105628,0.0668,0.3107,1.0943,1.140
0.106096,0.0771,0.3136,1.0317,1.081
0.106431,0.0805,0.3039,0.9682,1.018
0.112016,0.0492,0.2990,0.9213,0.970
0.113628,0.0424,0.3004,0.8725,0.924
0.113945,0.0566,0.2946,0.8363,0.888
0.118698,0.0654,0.2990,0.8104,0.866
0.119022,0.0742,0.2936,0.7830,0.840
0.119224,0.0727,0.2867,0.7596,0.815
0.128405,0.0707,0.2789,0.7435,0.797
0.128801,0.0830,0.2647,0.7435,0.794
0.128969,0.1088,0.2442,0.7415,0.788
0.132438,0.0844,0.2501,0.7845,0.828
0.132923,0.1396,0.2516,0.8485,0.896
0.134765,0.1719,0.2476,0.9071,0.956
0.138396,0.1396,0.2393,0.9765,1.015
0.138857,0.1841,0.2276,0.9853,1.028
0.145887,0.1704,0.2203,1.0381,1.075
0.152066,0.1264,0.2247,1.0640,1.095
0.152332,0.1675,0.2149,1.0288,1.064
0.152489,0.1611,0.2120,1.0738,1.106
0.152626,0.1342,0.2252,1.0914,1.122
0.152763,0.1406,0.2286,1.0317,1.066
0.157781,0.1685,0.2183,1.0014,1.039
0.163153,0.1641,0.2276,1.0386,1.076
0.163506,0.1372,0.2369,1.0151,1.051
0.163683,0.1904,0.2364,0.9795,1.025
0.171266,0.1557,0.2579,0.9887,1.034
0.172018,0.1797,0.2564,0.9590,1.009
0.182069,0.2447,0.2525,0.9247,0.989
0.182428,0.1685,0.3190,0.9257,0.994
0.182924,0.1768,0.3512,0.9018,0.984
0.183154,0.1768,0.3581,0.9350,1.017
0.185389,0.2085,0.3537,0.9590,1.043
0.185621,0.2520,0.3376,0.9775,1.064
0.187177,0.3277,0.3097,0.9814,1.080
0.189993,0.2056,0.3254,1.0107,1.082
0.190200,0.2608,0.3039,0.9912,1.069
0.193246,0.1567,0.3087,1.0288,1.085
0.197756,0.1709,0.2931,1.0102,1.066
0.198009,0.2158,0.2647,1.0513,1.105
0.201441,0.1944,0.2501,1.0357,1.083
0.205817,0.1997,0.2428,1.0180,1.065
0.206024,0.1968,0.2359,1.0303,1.075
0.209598,0.1831,0.2266,1.0352,1.075
0.212023,0.1445,0.2257,1.0445,1.078
0.212280,0.1655,0.2213,1.0513,1.087
0.215700,0.1841,0.2140,1.0596,1.097
0.220577,0.1988,0.2052,1.0650,1.103
0.220816,0.2207,0.2022,1.0835,1.124
0.224208,0.2100,0.2140,1.1104,1.150
0.228187,0.1616,0.2384,1.1265,1.163
0.228469,0.0717,0.2227,1.1442,1.168
0.235357,0.2451,0.1485,1.1617,1.197
0.235698,0.4001,0.1177,1.2810,1.347
0.235916,0.3947,0.1406,1.3176,1.383
0.238223,0.3228,0.1714,1.3059,1.356
0.243383,0.2393,0.1836,1.2819,1.317
0.243919,0.2041,0.1768,1.2330,1.262
0.247291,0.1695,0.1626,1.1818,1.205
0.250476,0.1040,0.1299,1.1583,1.170
0.250881,0.0751,0.0928,1.0748,1.081
0.254945,0.0927,0.0654,1.0185,1.025
0.258324,0.0952,0.0522,0.9609,0.967
0.258741,0.0961,0.0478,0.9140,0.920
0.261055,0.1157,0.0468,0.8632,0.872
0.269933,0.1435,0.0497,0.8167,0.831
0.270374,0.1631,0.0532,0.7684,0.787
0.270692,0.1817,0.0581,0.7215,0.746
0.272784,0.2075,0.0478,0.6863,0.719
0.273221,0.2173,0.0356,0.6370,0.674
0.276216,0.2232,0.0307,0.6126,0.653
0.280563,0.2310,0.0082,0.5651,0.611
0.281010,0.2510,-0.0015,0.5407,0.596
0.283383,0.2721,-0.0137,0.5285,0.595
0.288433,0.2979,-0.0367,0.5226,0.603
0.288858,0.3018,-0.0426,0.5290,0.611
0.291098,0.2789,-0.0573,0.5612,0.629
0.300549,0.2809,-0.0748,0.5974,0.664
0.301262,0.3018,-0.0880,0.6306,0.705
0.301686,0.2926,-0.0773,0.6912,0.755
0.302610,0.3155,-0.0861,0.7313,0.801
0.302969,0.3126,-0.1251,0.7718,0.842
0.307257,0.3155,-0.1706,0.8363,0.910
0.310830,0.3175,-0.1965,0.8671,0.944
0.311373,0.3565,-0.1887,0.9203,1.005
0.315099,0.3796,-0.1735,1.0019,1.085
0.317703,0.3766,-0.1374,1.1334,1.202
0.318061,0.3263,-0.0778,1.2746,1.318
0.322326,0.2451,-0.0392,1.3523,1.375
0.327153,0.1430,-0.0367,1.4300,1.438
0.327834,0.0698,0.0165,1.4955,1.497
0.329510,0.0121,0.0707,1.5223,1.524
0.333174,-0.0475,0.1240,1.5619,1.568
0.333680,-0.1013,0.1514,1.5683,1.579
0.337276,-0.1394,0.1738,1.5560,1.572
0.339856,-0.1726,0.1836,1.5644,1.585
0.340241,-0.2024,0.1787,1.5404,1.564
0.344579,-0.2327,0.1499,1.5121,1.537
0.348941,-0.2537,0.1270,1.4701,1.497
0.349216,-0.2473,0.0933,1.4265,1.451
0.351641,-0.2957,0.0850,1.3982,1.432
0.357503,-0.3348,0.0855,1.3176,1.362
0.357859,-0.3333,0.0928,1.2228,1.271
0.360557,-0.3216,0.0962,1.1187,1.168
0.363658,-0.3109,0.1089,1.0307,1.082
0.364067,-0.3021,0.1314,0.9448,1.001
0.366418,-0.2816,0.1445,0.8651,0.921
0.370423,-0.2273,0.1563,0.7821,0.829
0.370879,-0.1746,0.1729,0.7332,0.773
0.373639,-0.1428,0.1890,0.6975,0.737
0.384093,-0.1203,0.2188,0.6643,0.710
0.384850,-0.1179,0.2550,0.6545,0.712
0.385140,-0.1179,0.2882,0.6487,0.720
0.385616,-0.1115,0.3258,0.6628,0.747
0.385886,-0.1057,0.3615,0.6780,0.776
0.389008,-0.0930,0.3898,0.7024,0.809
0.393761,-0.0715,0.4118,0.7293,0.841
0.394483,-0.0514,0.4260,0.7596,0.872
0.395740,-0.0245,0.4294,0.7801,0.891
0.400542,0.0101,0.4192,0.7972,0.901
0.400966,0.0497,0.3942,0.8070,0.899
0.403593,0.0883,0.3708,0.8231,0.907
0.408933,0.1293,0.3361,0.8256,0.901
0.409803,0.1695,0.3024,0.8202,0.890
0.410785,0.2051,0.2735,0.8123,0.881
0.416263,0.2320,0.2511,0.8006,0.871
0.416669,0.2490,0.2349,0.7865,0.858
0.418446,0.2686,0.2193,0.7811,0.855
0.424029,0.2755,0.2135,0.7723,0.847
0.424476,0.2779,0.2110,0.7723,0.847
0.427371,0.2760,0.2105,0.7747,0.849
0.430294,0.2774,0.2154,0.7869,0.862
0.430729,0.2716,0.2227,0.7879,0.863
0.433537,0.2613,0.2310,0.8065,0.879
0.438313,0.2447,0.2413,0.8138,0.883
0.438672,0.2383,0.2476,0.8363,0.904
0.441263,0.2329,0.2579,0.8524,0.921
0.445245,0.2271,0.2618,0.8647,0.932
0.445740,0.2154,0.2672,0.8788,0.943
0.449291,0.2100,0.2701,0.8832,0.947
0.452904,0.2056,0.2608,0.8949,0.955
0.453232,0.2046,0.2545,0.9042,0.961
0.456551,0.2002,0.2540,0.9115,0.967
0.460589,0.1929,0.2359,0.9115,0.961
0.460878,0.1870,0.2330,0.9037,0.952
0.464430,0.1773,0.2198,0.8983,0.942
0.468646,0.1680,0.2096,0.8866,0.926
0.468937,0.1611,0.2047,0.8715,0.910
0.471433,0.1557,0.2017,0.8603,0.897
0.475057,0.1430,0.1905,0.8583,0.891
0.475468,0.1381,0.1890,0.8500,0.882
0.483494,0.1274,0.1861,0.8490,0.878
0.484196,0.0893,0.1836,0.7240,0.752
0.484491,0.0585,0.1846,0.5466,0.580
0.489686,0.0541,0.1787,0.5182,0.551
0.490165,0.0751,0.1748,0.6150,0.644
0.490465,0.0844,0.1782,0.6902,0.718
0.497169,0.0751,0.1802,0.7440,0.769
0.498115,0.0571,0.1807,0.7967,0.819
