gFx,gFy,gFz
-0.9856,0.0034,0.2426
-0.9925,0.0034,0.2534
-0.9959,0.0029,0.2529
-0.9939,0.0019,0.2441
-0.9905,0.0019,0.2441
-0.992,-0.0035,0.2485
-0.9939,-0.002,0.2441
-0.9959,-0.003,0.247
-0.9954,-0.002,0.2461
-0.9939,0.0009,0.2436
-0.9949,0.0024,0.2417
-0.9934,-0.0001,0.2407
-0.9895,-0.0005,0.2475
-0.9925,0.0004,0.2461
-0.9915,-0.0001,0.2485
-0.9925,-0.0001,0.2514
-0.99,-0.0001,0.2446
-0.9925,0.0053,0.2485
-0.991,-0.001,0.2456
-0.9959,0.0004,0.249
-0.992,0.0004,0.247
-0.9925,-0.001,0.2495
-0.9891,-0.0035,0.2475
-0.9944,0.0014,0.247
-0.9915,0.0004,0.2446
-0.993,-0.0015,0.2451
-0.99,0.0014,0.2426
-0.9964,-0.0049,0.248
-0.9964,0.0009,0.2451
-0.9944,-0.0025,0.2441
-0.993,-0.0001,0.2446
-0.9895,0.0019,0.2485
-0.9881,-0.0015,0.2441
-0.992,0.0034,0.2461
-0.9915,0.0043,0.248
-0.9934,0.0029,0.2495
-0.9934,0.0024,0.247
-0.9905,-0.002,0.247
-0.99,-0.004,0.247
-0.993,-0.004,0.2475
-0.9925,-0.0025,0.2475
-0.991,-0.0015,0.2465
-0.9915,-0.0001,0.2524
-0.992,0.0004,0.2426
-0.99,-0.0001,0.2451
-0.9905,0.0019,0.2465
-0.993,-0.002,0.2456
-0.9939,0.0004,0.248
-0.992,0.0004,0.2475
-0.992,-0.0005,0.249
-0.9934,-0.0001,0.2426
-0.9915,-0.0035,0.2451
-0.991,-0.0035,0.2465
-0.9925,-0.0045,0.248
-0.9959,0.0009,0.2475
-0.9944,-0.0001,0.2431
-0.9895,-0.003,0.2446
-0.9934,-0.004,0.2422
-0.9939,-0.0035,0.247
-0.9978,0.0038,0.248
-0.9856,-0.0001,0.2373
-0.992,-0.001,0.2402
-0.992,0.0004,0.2661
-0.9934,-0.0015,0.2705
-0.992,0.0038,0.2627
-0.9925,0.0102,0.2505
-0.9915,-0.002,0.2563
-0.9895,0.0048,0.2553
