gFx,gFy,gFz
0.21,-0.1403,-0.9447
0.2046,-0.1501,-0.9452
0.208,-0.1525,-0.9442
0.208,-0.1511,-0.9481
0.2095,-0.1462,-0.9471
0.21,-0.1438,-0.9447
0.2105,-0.1398,-0.9481
0.2051,-0.1398,-0.9491
0.2041,-0.1408,-0.9466
0.2041,-0.1516,-0.9427
0.2046,-0.1462,-0.9452
0.209,-0.1447,-0.9457
0.2085,-0.1462,-0.9437
0.2046,-0.1477,-0.9471
0.2061,-0.1442,-0.9422
0.2002,-0.1413,-0.9457
0.2031,-0.1418,-0.9486
0.2041,-0.1423,-0.9496
0.2027,-0.1433,-0.9466
0.2066,-0.1447,-0.9437
0.2022,-0.1447,-0.9457
0.2056,-0.1442,-0.9486
0.208,-0.1462,-0.9486
0.2031,-0.1447,-0.9505
0.2075,-0.1413,-0.9491
0.2056,-0.1438,-0.9457
0.2022,-0.1408,-0.9457
0.2061,-0.1398,-0.9481
0.2046,-0.1442,-0.9457
0.2046,-0.1457,-0.9476
0.2051,-0.1447,-0.9505
0.2061,-0.1408,-0.9481
0.209,-0.1462,-0.9447
0.2066,-0.1462,-0.9442
0.2017,-0.1462,-0.9471
0.2036,-0.1457,-0.951
0.2031,-0.1418,-0.9486
0.2095,-0.1413,-0.9437
0.2075,-0.1428,-0.9452
0.2046,-0.1345,-0.9496
0.2007,-0.1413,-0.952
0.2027,-0.1481,-0.9437
0.2066,-0.1481,-0.9442
0.208,-0.1481,-0.9452
0.2041,-0.1389,-0.9505
0.2046,-0.1467,-0.95
0.2031,-0.1408,-0.9466
0.2041,-0.1452,-0.9476
0.2066,-0.1428,-0.9471
0.2066,-0.1452,-0.9476
0.2075,-0.1408,-0.9466
0.2066,-0.1457,-0.9471
0.2066,-0.1467,-0.95
0.2046,-0.1442,-0.9466
0.2041,-0.1472,-0.9447
0.2061,-0.1438,-0.9461
0.2071,-0.1438,-0.9437
0.2061,-0.1413,-0.9427
0.2051,-0.1472,-0.9486
0.2075,-0.1433,-0.9447
0.2031,-0.1403,-0.9437
