gFx,gFy,gFz
-0.2464,-0.9221,-0.0994
-0.2454,-0.9211,-0.1043
-0.2527,-0.9177,-0.1013
-0.2625,-0.9211,-0.0984
-0.2639,-0.925,-0.0984
-0.2571,-0.9192,-0.1043
-0.2444,-0.928,-0.1047
-0.2395,-0.9211,-0.1057
-0.2429,-0.9216,-0.1004
-0.2615,-0.9226,-0.0901
-0.2752,-0.9182,-0.0964
-0.285,-0.9143,-0.1033
-0.2884,-0.9153,-0.1077
-0.2918,-0.9162,-0.1233
-0.2918,-0.9172,-0.1165
-0.286,-0.9192,-0.1135
-0.2816,-0.9216,-0.1043
-0.2845,-0.9123,-0.0979
-0.2894,-0.9192,-0.094
-0.305,-0.9211,-0.0911
-0.3324,-0.9177,-0.0774
-0.3177,-0.9045,-0.0652
-0.3353,-0.9177,-0.0754
-0.3612,-0.9206,-0.0994
-0.37,-0.9148,-0.1028
-0.3641,-0.9055,-0.0911
-0.3529,-0.9221,-0.0774
-0.325,-0.9016,-0.1047
-0.3031,-0.8498,-0.1038
-0.3031,-0.8796,-0.0896
-0.2552,-0.9406,-0.0964
-0.2278,-0.9494,-0.1004
-0.1819,-0.9333,-0.114
-0.1721,-0.9436,-0.1336
-0.18,-0.9529,-0.1541
-0.2019,-0.9509,-0.1541
-0.2185,-0.9255,-0.1409
-0.2415,-0.904,-0.114
-0.2537,-0.885,-0.1004
-0.2664,-0.9094,-0.0979
-0.2762,-0.924,-0.1043
-0.2835,-0.925,-0.1072
-0.2835,-0.9245,-0.1189
-0.2787,-0.9167,-0.1233
-0.2767,-0.9206,-0.1297
-0.2635,-0.9021,-0.1248
-0.2508,-0.906,-0.1174
-0.2395,-0.9211,-0.1101
-0.2376,-0.9226,-0.1013
-0.2337,-0.9211,-0.1145
-0.2405,-0.9402,-0.1228
-0.2415,-0.9196,-0.114
-0.2542,-0.9182,-0.1057
-0.2699,-0.9177,-0.0994
-0.2733,-0.9133,-0.1062
-0.2801,-0.9304,-0.1135
-0.2655,-0.928,-0.1106
-0.2537,-0.9309,-0.1096
-0.2459,-0.9319,-0.1052
-0.2483,-0.924,-0.096
-0.2415,-0.928,-0.0945
-0.2385,-0.9221,-0.0877
-0.2405,-0.9089,-0.0901
-0.242,-0.9177,-0.096
-0.2395,-0.924,-0.0984
-0.2322,-0.9372,-0.0964
-0.2337,-0.9426,-0.0925
-0.2469,-0.9406,-0.0989
-0.2561,-0.9192,-0.0994
-0.2561,-0.9236,-0.1008
-0.242,-0.9294,-0.095
-0.239,-0.9328,-0.0784
-0.239,-0.9314,-0.0735
-0.2356,-0.9358,-0.0676
-0.2317,-0.928,-0.0608
-0.2317,-0.9284,-0.0564
-0.2385,-0.9328,-0.0632
-0.2483,-0.9328,-0.0637
-0.2566,-0.9255,-0.0754
-0.2522,-0.9328,-0.0794
-0.2429,-0.9489,-0.0794
-0.2346,-0.9167,-0.0754
-0.2405,-0.9309,-0.074
-0.2444,-0.9314,-0.0696
-0.2293,-0.9333,-0.0803
-0.2259,-0.9353,-0.073
-0.2088,-0.9436,-0.0789
-0.2151,-0.9319,-0.0711
-0.2273,-0.9338,-0.0574
-0.241,-0.9363,-0.0569
-0.2454,-0.9328,-0.0628
-0.2493,-0.9314,-0.0642
-0.2429,-0.9294,-0.0662
-0.239,-0.927,-0.0662
-0.2322,-0.9289,-0.0701
-0.2312,-0.9294,-0.0588
-0.2322,-0.9382,-0.053
-0.2322,-0.9421,-0.0496
-0.2332,-0.9353,-0.0442
-0.2327,-0.925,-0.0491
-0.2283,-0.9372,-0.0662
-0.2234,-0.9387,-0.0691
-0.218,-0.9348,-0.0647
-0.2166,-0.9387,-0.052
-0.2244,-0.9372,-0.0481
-0.2205,-0.9372,-0.051
-0.2273,-0.9397,-0.053
-0.2288,-0.9377,-0.0564
-0.2239,-0.9358,-0.0525
-0.2205,-0.9348,-0.0481
-0.2219,-0.9348,-0.0432
-0.2249,-0.9411,-0.0461
-0.2293,-0.9402,-0.0515
-0.2263,-0.9397,-0.054
-0.2298,-0.9182,-0.0461
-0.2268,-0.945,-0.0246
-0.2263,-0.9392,-0.0427
-0.2259,-0.9524,-0.0432
-0.22,-0.9367,-0.0442
-0.2219,-0.9074,-0.0457
-0.2132,-0.9465,-0.0344
-0.2127,-0.9558,-0.0325
-0.2102,-0.9538,-0.0364
-0.2151,-0.947,-0.0442
-0.2215,-0.9421,-0.0603
-0.2273,-0.9314,-0.0471
-0.2195,-0.9343,-0.0486
-0.2117,-0.9382,-0.0442
-0.2078,-0.9406,-0.0378
-0.2205,-0.9436,-0.0275
-0.2249,-0.9319,-0.0295
