gFx,gFy,gFz
-0.1101,-0.8542,-0.0881
0.0057,-0.9363,0.0086
0.0258,-1.0232,0.0853
0.0321,-1.0491,0.0961
-0.0607,-0.9753,0.0115
-0.2005,-0.8962,-0.0921
-0.329,-0.8938,-0.1771
-0.3915,-1.0511,-0.247
-0.2874,-1.0462,-0.5015
-0.0915,-0.928,-0.3681
0.0712,-0.9856,-0.0236
0.1851,-1.0433,0.0218
0.2222,-0.9944,-0.2543
0.0253,-1.0164,-0.5787
-0.0642,-1.4093,-0.2176
0.0438,-1.4718,-0.1189
0.1391,-1.2875,-0.0803
-0.0637,-1.1953,-0.0378
-0.4028,-1.2109,0.1229
-0.6153,-1.2499,0.2172
-0.8747,-1.288,0.0067
-1.0502,-1.2954,-0.6632
-0.6368,-1.0394,-0.436
-0.4267,-0.8419,-0.1429
-0.2743,-0.7115,0.1356
-0.1369,-0.6416,0.2412
-0.0275,-0.5688,0.2719
0.061,-0.5845,0.1161
0.0742,-0.6715,-0.2563
-0.0588,-0.7681,-0.2421
-0.284,-0.7384,-0.0696
-0.349,-0.5307,-0.1341
-0.2796,-0.4027,-0.1634
-0.1883,-0.3783,-0.1321
-0.0939,-0.5107,-0.1893
-0.1032,-0.7545,-0.4688
-0.1271,-1.0902,-1.0224
-0.0764,-1.374,-1.2388
0.0326,-1.376,-0.9569
-0.005,-0.967,-0.7898
-0.0055,-0.7203,-0.7609
-0.0245,-0.6944,-0.4561
-0.2556,-0.992,-0.1546
-0.5185,-1.3643,0.1439
-0.8205,-1.6946,-0.0413
-1.1601,-1.3325,-1.0585
-0.6456,-0.5698,0.3252
-0.4467,-0.4657,0.6335
-0.2381,-0.562,0.3457
-0.1692,-0.7364,0.2041
-0.0778,-0.9319,0.1601
-0.0275,-1.0594,0.2075
-0.0554,-1.0511,0.1327
-0.1848,-0.8864,0.0267
-0.2547,-0.7686,-0.4453
-0.373,-0.8488,-0.6051
-0.4047,-0.8625,-0.3197
-0.3299,-0.819,-0.0833
-0.2302,-0.8595,0.0174
-0.0886,-0.9631,0.0194
0.0077,-1.0389,0.0584
0.0033,-1.0154,0.0985
-0.0294,-0.8913,0.0795
-0.176,-0.819,-0.0896
-0.3329,-0.8899,-0.3119
-0.3109,-0.9436,-0.2558
-0.2146,-0.9455,-0.0964
-0.1423,-0.9768,-0.1815
-0.0031,-1.0813,-0.288
0.1157,-1.1161,-0.2259
0.2095,-1.1136,-0.1629
0.1098,-0.9998,-0.4165
-0.1042,-1.1439,-0.5875
-0.1491,-1.4776,-0.3501
0.1333,-1.3208,-0.1326
0.1626,-1.2612,0.2177
-0.0749,-1.1953,0.2085
-0.4189,-1.183,0.1542
-0.6851,-1.2114,0.0839
-1.1796,-1.2353,-0.4834
-0.9446,-1.2455,-0.4527
-0.4487,-0.9646,-0.1356
-0.2254,-0.8253,-0.0291
-0.0876,-0.7559,0.0384
-0.1511,-0.6641,0.1434
-0.1159,-0.6089,0.268
0.0013,-0.6607,0.0917
-0.0275,-0.7257,-0.3344
-0.1433,-0.7213,-0.2166
-0.2537,-0.6152,-0.0613
-0.3099,-0.4823,-0.0183
-0.2909,-0.3724,-0.1336
-0.2014,-0.3289,-0.1717
