gFx,gFy,gFz
-0.476,-1.8016,-0.5196
-0.2166,-1.142,-0.5215
-0.1785,-0.648,-0.2997
-0.156,-0.431,-0.1091
-0.156,-0.3274,-0.054
-0.1843,-0.3416,0.0018
-0.2537,-0.4457,0.0623
-0.2615,-0.4892,0.0936
-0.1682,-0.4521,0.1557
-0.0783,-0.3783,0.1449
0.0209,-0.3201,0.1063
0.0537,-0.2737,0.036
-0.0715,-0.3583,-0.1507
-0.4135,-0.7995,-0.8352
-0.4731,-1.4771,-1.9752
-0.262,-1.3345,-1.5154
-0.1682,-0.7921,-0.8186
-0.3842,-0.7486,-0.6945
-0.3715,-1.0052,-0.181
-0.0431,-1.0813,0.9585
-0.285,-1.5778,0.3804
-0.6885,-2.4387,-0.1199
-0.3709,-2.0258,0.4137
-0.1262,-1.4654,0.4503
-0.1614,-1.2426,0.2295
-0.0338,-0.9876,-0.1121
-0.0514,-0.6705,-0.3388
-0.3754,-0.6284,-0.1707
-0.2923,-0.6157,-0.1346
-0.3304,-0.5825,-0.2083
-0.5664,-0.6436,-0.2113
-0.2459,-0.8327,-0.1834
0.038,-0.945,-0.2303
0.1919,-0.8947,-0.3486
0.1181,-0.8454,-0.3315
-0.0377,-1.0076,-0.2332
-0.0333,-1.0956,-0.139
0.0516,-0.9323,-0.2118
0.1015,-0.7819,-0.4409
0.1245,-0.8459,-0.7185
0.1675,-1.2158,-0.6882
0.0717,-1.5675,-0.4385
-0.198,-1.6233,-0.5763
-0.5992,-1.2958,-0.3862
-0.7926,-1.0857,0.0306
-0.8991,-1.1459,0.0966
-0.5361,-1.2866,-0.0442
-0.2049,-1.1967,-0.051
-0.1013,-1.0516,-0.2362
-0.1428,-0.8639,-0.2753
-0.1922,-0.6925,-0.0945
-0.1741,-0.5468,0.0545
-0.1301,-0.3822,0.1322
-0.0812,-0.2532,0.2226
-0.0915,-0.1574,0.2563
-0.1545,-0.0573,0.1498
-0.1428,-0.025,0.076
-0.1105,-0.0607,0.011
-0.0133,-0.1657,0.0233
0.0052,-0.348,0.0018
-0.0861,-0.8512,-0.4258
-0.2361,-1.5378,-1.682
0.0043,-1.2709,-1.5164
-0.1481,-0.8644,-0.9447
-0.4257,-0.9832,-0.3373
-0.3861,-1.162,0.3981
-0.4052,-1.4596,0.2758
-0.608,-2.2198,-0.6378
-0.2478,-1.9951,0.3892
0.0521,-1.3897,0.4405
-0.0534,-0.9915,0.3472
-0.0681,-0.7345,-0.0012
-0.1765,-0.7843,-0.6364
-0.3524,-0.8615,-0.7292
-0.3045,-0.7271,-0.4228
-0.3192,-0.5791,-0.501
-0.4091,-0.5424,-0.3378
-0.2566,-0.4804,-0.1888
0.0004,-0.4863,-0.2039
0.2105,-0.6118,-0.3506
0.1734,-0.7736,-0.3691
0.0375,-0.7315,-0.2264
0.0199,-0.6807,-0.2088
0.0673,-0.7985,-0.2249
0.1988,-1.0208,-0.9833
-0.0011,-1.5378,-1.4059
-0.2992,-1.6296,-0.073
-0.26,-1.6184,-0.2005
-0.5029,-1.7175,-0.265
-0.6358,-1.5631,-0.2606
-0.435,-1.0887,-0.4991
-0.1433,-0.7139,-0.8035
-0.2767,-0.5972,-0.2244
-0.3309,-0.5596,0.0296
-0.2395,-0.5605,0.101
-0.2176,-0.5029,0.098
-0.1936,-0.4076,0.0731
-0.0338,-0.3607,0.0428
0.0463,-0.2967,0.1259
-0.007,-0.2326,0.0516
-0.1062,-0.24,-0.1209
-0.3006,-0.4374,-0.3857
-0.2029,-0.8595,-1.6747
-0.0632,-0.9748,-1.8364
-0.3265,-1.0457,-1.1333
-0.2039,-1.3325,-0.6926
-0.135,-1.2231,0.8515
-0.3974,-1.6164,0.4249
-0.6187,-2.1612,-0.4795
-0.3905,-1.9619,0.1767
-0.0861,-1.2309,0.3614
-0.0031,-0.7985,0.076
-0.1198,-0.9842,-0.2846
-0.093,-1.2949,-0.5323
-0.027,-1.2011,-0.501
-0.2263,-0.924,-0.3207
-0.3793,-0.7047,-0.2118
-0.4218,-0.5307,-0.2035
-0.3065,-0.369,-0.1751
-0.1433,-0.2498,-0.2406
0.0659,-0.2659,-0.4189
0.1113,-0.3666,-0.824
-0.2205,-0.4471,-0.2992
-0.2161,-0.6152,-0.0178
-0.1306,-0.8082,-0.2264
0.1376,-1.0813,-0.5602
0.4347,-1.0926,-0.5587
