gFx,gFy,gFz
-0.0759,-0.6807,-0.0784
-0.0798,-0.691,-0.2269
-0.0935,-0.7105,-0.2895
-0.1516,-0.7183,-0.2514
-0.0441,-0.8141,-0.2279
0.0116,-0.9822,-0.4756
-0.0837,-1.1527,-0.6525
-0.1673,-1.1844,-0.6769
-0.3114,-1.2011,-0.5572
-0.6994,-1.3286,-0.5298
-0.9339,-1.4322,-0.5905
-0.8718,-1.4889,-0.6813
-0.7106,-1.3643,-0.4316
-0.4457,-1.225,-0.0335
-0.3783,-1.0433,0.1522
-0.436,-0.9475,0.3623
-0.2434,-1.0442,-0.0295
-0.4316,-1.1254,-1.126
-0.4824,-0.9157,-0.288
-0.1579,-0.7408,0.0927
-0.0143,-0.5752,0.0863
-0.132,-0.474,-0.1243
-0.1599,-0.3729,-0.0925
-0.1096,-0.2097,0.0213
-0.114,-0.0577,0.0003
-0.0871,0.0458,-0.0505
-0.1091,0.0698,-0.0535
-0.155,0.0078,-0.1218
-0.0622,-0.2454,-2.9836
-0.3979,-1.2451,0.1527
-0.9959,-1.7205,0.5422
-0.7423,-2.0019,-0.2968
-0.1228,-1.7259,-0.5856
-0.0812,-1.1542,-0.2953
-0.1883,-0.7476,-0.2616
-0.1486,-0.6671,-0.0364
-0.1208,-0.7437,-0.0667
-0.1579,-0.948,-0.4131
-0.1624,-1.1337,-0.4908
-0.2161,-1.247,-0.3358
-0.178,-1.2646,-0.1746
-0.3446,-1.0818,-0.2215
-0.6148,-0.9748,-0.3158
-0.5987,-1.0423,-0.3383
-0.7145,-1.0413,-0.3574
-0.3954,-1.2114,-0.1825
-0.0988,-1.2197,-0.2919
0.0062,-1.0452,-0.3227
-0.0358,-0.7056,-0.4096
0.0497,-0.54,-0.7595
0.0477,-0.6108,-1.188
0.0316,-0.6216,-1.5379
-0.1184,-0.6304,-1.0976
-0.3255,-0.7598,-0.353
-0.1975,-1.2475,0.0687
-0.2439,-1.5768,0.4107
-0.6534,-1.6511,0.5388
-1.0013,-1.6027,0.3291
-0.5508,-1.8773,-1.4309
-0.5454,-1.4835,-1.0463
-0.4623,-1.0672,-0.4184
-0.3739,-0.9118,-0.1179
-0.394,-0.8415,-0.1468
