accx,accy,accz
4.762,-2.072,9.873
5.584,-9.89,5.271
-4.808,1.882,8.604
-5.903,2.147,-2.394
-4.001,-6.633,9.233
0.776,0.661,-7.407
6.979,-4.133,8.269
1.899,0.114,2.812
-3.902,6.434,0.413
6.268,3.457,2.032
4.064,8.508,-0.539
-7.485,-4.474,3.763
1.733,-5.95,6.754
-8.15,-6.203,1.717
0.947,6.148,-6.134
1.579,2.871,8.058
-1.791,-2.123,8.86
8.623,-9.54,-2.703
-1.951,-7.709,9.14
8.121,-3.004,-0.756
2.086,-2.547,3.992
-8.532,8.31,7.596
-5.931,-9.667,8.436
-3.099,7.063,7.72
-4.827,-7.815,7.116
-6.577,-6.671,-9.534
-6.629,1.546,4.821
5.034,-8.69,3.055
1.049,2.776,9.232
-9.484,-2.044,7.116
-4.349,-6.481,8.323
-7.047,3.066,-0.201
3.321,8.145,-9.212
-7.508,-6.931,6.188
1.488,-1.285,8.59
-8.667,-6.446,0.751
5.835,4.167,-4.255
4.267,6.235,9.143
-2.666,-6.356,0.936
6.05,-2.986,-9.085
2.968,-6.92,0.036
-2.366,3.735,6.23
4.692,-0.204,5.212
-6.055,1.662,-1.259
-4.1,1.558,-0.669
-3.977,8.089,2.658
-2.368,-1.451,8.005
-0.969,4.759,-5.603
8.178,-7.438,2.485
-5.933,4.087,-9.6
-2.474,9.794,3.303
-1.282,7.021,-0.875
-8.259,-2.595,-2.654
-0.027,-9.531,3.393
7.025,-8.062,7.462
6.772,-3.792,1.362
6.865,2.18,4.727
5.866,-7.376,7.886
-1.109,7.255,-5.337
-2.29,-1.48,1.231
3.853,0.576,7.445
0.182,6.121,2.049
-1.765,5.306,-0.226
8.79,-0.461,-3.673
-5.464,6.171,-3.865
1.992,0.926,-0.99
-0.51,7.717,-9.415
-6.677,2.681,5.467
-9.766,4.061,9.463
-9.705,-4.983,3.474
1.442,6.559,4.153
6.514,8.151,-8.932
2.628,5.377,-3.845
4.225,-1.603,3.982
5.555,-6.676,0.299
6.647,-5.269,-9.584
3.184,7.353,-8.238
-7.191,-4.115,0.823
4.611,-4.783,-0.502
-9.002,8.756,-3.799
0.078,9.287,1.202
7.422,8.284,-8.063
-4.657,-6.671,6.718
6.069,9.531,-1.594
-1.558,-2.553,-3.557
-0.621,-0.882,9.01
1.017,2.355,2.742
-0.567,-5.846,-8.052
6.32,3.254,-7.941
8.275,-6.143,-0.857
-3.388,-9.413,0.106
-2.721,2.606,3.185
8.999,2.042,1.461
-8.122,2.232,-0.118
-9.923,-2.346,-6.837
5.791,-3.217,3.913
-7.133,4.029,-8.121
-2.699,8.514,-8.099
0.851,-7.5,9.825
3.439,6.725,-4.169
7.123,-8.888,4.259
-4.487,-3.678,5.481
-0.924,-4.437,-5.405
-4.482,-6.279,8.676
-9.718,-9.434,-3.931
6.723,-1.563,4.391
-5.434,7.818,8.403
-8.916,8.045,-4.13
0.035,-5.832,-3.065
-8.932,-5.234,-2.216
2.561,-0.197,-8.644
3.618,2.879,6.721
8.338,2.984,-2.538
-0.651,-5.007,-0.851
-8.293,6.594,4.446
5.082,3.626,3.875
-3.604,-6.631,-6.434
2.127,-4.941,3.167
3.859,-0.456,-6.505
-9.422,-6.957,-7.255
-2.538,-8.934,-3.673
-8.874,9.359,-2.741
-1.289,-6.393,-5.45
4.037,-8.191,-5.053
1.322,0.014,-7.596
-9.881,-1.711,1.281
3.254,-7.131,9.469
-9.169,7.759,2.72
9.429,-0.739,3.658
0.512,6.242,-2.208
5.917,-9.697,-7.26
0.445,-2.923,-5.781
5.599,-0.25,7.022
-9.243,-0.287,-8.083
7.218,4.574,-5.332
1.741,6.051,2.533
9.588,1.893,-3.967
-1.776,5.669,0.737
3.357,2.912,-0.278
-1.24,0.209,-5.035
3.639,9.091,2.133
-5.596,-8.433,6.575
-2.577,7.47,-9.703
8.258,8.221,5.403
-4.564,4.633,-9.085
-9.939,3.037,1.33
-3.657,5.915,-2.577
3.445,-7.334,-0.671
4.493,6.712,7.105
0.228,9.636,-6.573
-6.713,-0.558,2.638
7.326,-2.482,5.049
-7.549,-6.907,7.378
5.782,-6.831,-7.231
7.257,-9.524,-8.429
-1.178,-9.577,-6.187
5.902,-8.709,-6.633
-3.983,2.494,-0.108
-4.113,0.422,4.779
8.041,6.752,9.927
-7.123,-7.872,2.76
-0.622,6.219,4.166
-4.741,-4.878,-7.064
-7.312,-6.059,-4.782
6.902,-5.869,-9.028
-6.366,7.714,5.975
6.154,-4.331,-1.581
-3.117,9.472,9.141
-9.755,3.722,-8.195
-7.816,-5.363,3.167
2.651,1.539,1.61
9.626,5.647,5.733
-2.758,-4.516,-2.173
-3.5,2.017,-6.875
5.061,-7.148,-4.35
3.67,-0.697,-2.032
-2.676,-2.842,-6.59
-1.584,1.223,-8.214
6.866,-8.736,8.894
6.073,-2.424,5.801
-6.469,-9.211,3.279
-4.098,-8.778,-3.739
8.075,8.25,7.072
1.368,3.869,-9.459
8.871,6.17,-9.991
-3.818,8.151,3.001
-6.736,-0.292,6.276
3.929,8.181,-4.256
-7.013,8.946,-7.598
6.255,-5.178,-3.708
-2.61,1.616,1.657
-2.993,7.019,4.661
-5.09,3.4,-2.434
-6.101,0.405,2.089
-7.333,5.487,-9.072
4.246,6.388,-2.856
7.42,3.552,-5.073
3.204,-4.043,6.815
2.966,-6.295,-5.139
9.413,-6.606,1.576
-4.16,-1.184,-8.824
0.555,7.996,-6.415
3.334,0.766,-0.706
-1.089,-4.644,-5.035
6.131,-5.86,9.489
2.117,-1.35,1.472
-7.435,0.335,7.043
-8.084,3.394,8.147
6.226,9.449,8.791
8.781,0.487,4.217
7.032,6.565,-6.079
0.295,-1.48,-2.901
7.75,7.046,-5.999
1.375,9.54,4.076
-4.658,2.424,3.443
-8.965,-7.677,-9.548
-2.674,-4.766,0.845
5.783,-0.54,-4.89
5.902,4.623,-9.573
2.51,3.733,-0.076
-3.144,5.383,6.458
-1.409,-9.765,9.408
-9.929,6.573,-8.641
3.153,6.157,-7.486
-6.058,-9.362,-9.864
-6.252,-2.942,-5.831
1.826,-6.916,-6.93
-1.137,0.744,-2.248
-4.166,7.211,-4.464
2.397,2.45,4.922
-1.008,-2.439,0.421
-1.84,-2.208,2.877
0.0,6.099,8.618
-5.511,-1.005,-1.307
1.573,-1.456,8.397
8.182,3.675,7.839
5.037,-5.741,4.023
-5.106,8.547,-2.786
0.665,5.43,9.041
8.181,-3.893,-1.813
-4.347,1.162,7.368
1.504,-9.044,8.458
-0.545,-3.763,-1.7
5.312,5.074,7.3
4.018,5.685,-5.251
-6.651,9.41,0.97
1.615,2.173,4.102
-3.206,6.841,1.916
-3.28,-4.289,-8.813
-0.303,5.893,-1.232
0.927,-4.539,5.243
9.711,8.485,-4.702
-4.14,-5.512,-5.798
9.86,-9.233,4.196
-9.062,0.452,0.478
-5.965,6.539,-1.767
-5.348,3.901,6.228
-0.587,0.787,-8.554
-4.444,6.929,3.4
-4.105,6.066,-2.747
-0.382,-7.432,2.261
2.127,-0.766,-8.618
4.633,-9.137,-0.857
-3.182,-8.335,-5.074
0.19,-3.688,-0.276
2.072,-3.578,-7.957
1.823,2.017,0.237
-5.86,-5.695,-5.476
-1.621,3.935,4.627
2.581,-0.927,-4.375
1.5,-0.847,6.98
-8.331,-1.848,5.585
5.493,-7.832,-6.029
-1.645,9.006,5.642
3.002,-6.495,-0.123
8.788,-5.633,-0.348
-3.994,-5.759,-9.146
-3.017,3.861,-3.516
4.313,1.109,-4.162
6.126,9.228,9.786
-4.378,2.116,-4.108
-8.195,-8.505,3.825
8.564,-9.708,5.009
-4.303,-4.991,-4.234
1.528,5.923,5.704
-4.541,-9.515,9.575
-8.771,6.199,8.544
8.337,2.552,-6.61
-9.569,-2.828,7.917
2.189,7.428,8.592
9.715,-1.622,3.028
3.656,4.962,-1.177
7.752,1.369,5.187
-4.456,-4.903,-4.962
-1.876,-7.089,-8.755
1.799,2.712,7.138
-6.735,8.317,4.514
-7.89,-0.599,4.54
-6.209,8.868,7.999
-8.58,-7.975,-5.632
